# step       rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn   lr      
# If there is no available reference data, rmse_*_{val,trn} will print nan
      1      5.64e+01    2.72e+01      5.96e-01    3.12e-01      1.78e+00    8.59e-01    1.0e-03
   1000      5.84e+00    6.86e+00      4.66e-01    4.40e-01      1.85e-01    2.17e-01    1.0e-03
   2000      5.16e+00    5.29e+00      6.82e-02    8.22e-02      1.63e-01    1.67e-01    1.0e-03
   3000      3.81e+00    3.60e+00      3.06e-02    3.56e-02      1.20e-01    1.14e-01    1.0e-03
   4000      4.91e+00    4.89e+00      1.55e-02    1.82e-02      1.55e-01    1.55e-01    1.0e-03
   5000      3.13e+00    3.44e+00      1.93e-02    1.64e-02      9.91e-02    1.09e-01    1.0e-03
   6000      2.86e+00    1.77e+00      4.33e-03    6.24e-03      1.17e-01    7.24e-02    6.0e-04
   7000      2.12e+00    1.94e+00      4.55e-03    1.33e-02      8.66e-02    7.91e-02    6.0e-04
   8000      2.49e+00    1.70e+00      6.25e-03    1.70e-02      1.02e-01    6.93e-02    6.0e-04
   9000      1.63e+00    1.35e+00      7.67e-03    1.34e-02      6.67e-02    5.52e-02    6.0e-04
  10000      1.87e+00    1.69e+00      2.47e-02    2.71e-02      7.65e-02    6.89e-02    6.0e-04
  11000      9.87e-01    1.05e+00      2.11e-02    1.59e-02      5.20e-02    5.51e-02    3.6e-04
  12000      1.01e+00    7.91e-01      8.70e-03    2.92e-03      5.34e-02    4.17e-02    3.6e-04
  13000      1.36e+00    7.89e-01      1.39e-02    2.20e-02      7.15e-02    4.15e-02    3.6e-04
  14000      1.02e+00    9.22e-01      3.51e-03    2.57e-03      5.40e-02    4.87e-02    3.6e-04
  15000      1.27e+00    1.09e+00      4.20e-03    3.39e-03      6.68e-02    5.76e-02    3.6e-04
  16000      8.73e-01    7.08e-01      5.76e-03    6.96e-03      5.95e-02    4.82e-02    2.1e-04
  17000      7.45e-01    5.33e-01      1.60e-03    2.26e-03      5.08e-02    3.63e-02    2.1e-04
  18000      6.93e-01    4.62e-01      5.54e-03    1.40e-03      4.72e-02    3.14e-02    2.1e-04
  19000      5.94e-01    4.55e-01      1.83e-03    1.35e-03      4.04e-02    3.10e-02    2.1e-04
  20000      5.59e-01    6.58e-01      3.76e-03    5.44e-03      3.81e-02    4.48e-02    2.1e-04
  21000      4.31e-01    4.28e-01      3.48e-03    4.70e-03      3.79e-02    3.76e-02    1.3e-04
  22000      4.95e-01    3.89e-01      2.24e-03    1.66e-03      4.35e-02    3.42e-02    1.3e-04
  23000      4.40e-01    4.46e-01      2.55e-03    3.62e-03      3.87e-02    3.92e-02    1.3e-04
  24000      4.37e-01    4.84e-01      4.18e-03    2.37e-03      3.84e-02    4.25e-02    1.3e-04
  25000      5.05e-01    4.13e-01      1.26e-03    1.83e-03      4.44e-02    3.63e-02    1.3e-04
  26000      2.22e-01    2.57e-01      4.47e-04    1.05e-03      2.52e-02    2.91e-02    7.7e-05
  27000      3.29e-01    2.84e-01      1.14e-03    1.89e-03      3.72e-02    3.22e-02    7.7e-05
  28000      3.54e-01    2.74e-01      7.59e-03    7.68e-03      4.01e-02    3.10e-02    7.7e-05
  29000      2.96e-01    2.97e-01      1.03e-03    1.89e-03      3.35e-02    3.36e-02    7.7e-05
  30000      2.47e-01    2.48e-01      4.78e-03    3.30e-03      2.80e-02    2.81e-02    7.7e-05
  31000      2.10e-01    1.96e-01      1.07e-03    1.19e-03      3.06e-02    2.86e-02    4.6e-05
  32000      2.61e-01    1.71e-01      1.13e-03    2.14e-03      3.81e-02    2.49e-02    4.6e-05
  33000      2.71e-01    1.98e-01      2.12e-03    6.81e-04      3.95e-02    2.89e-02    4.6e-05
  34000      2.72e-01    2.73e-01      9.85e-04    2.14e-03      3.97e-02    3.98e-02    4.6e-05
  35000      2.30e-01    1.92e-01      1.44e-03    1.69e-03      3.36e-02    2.79e-02    4.6e-05
  36000      1.76e-01    1.83e-01      2.66e-03    4.02e-03      3.30e-02    3.43e-02    2.8e-05
  37000      1.50e-01    1.42e-01      2.19e-04    9.86e-04      2.80e-02    2.65e-02    2.8e-05
  38000      1.67e-01    1.52e-01      3.61e-03    3.27e-03      3.12e-02    2.83e-02    2.8e-05
  39000      1.99e-01    1.37e-01      7.80e-04    2.60e-03      3.72e-02    2.57e-02    2.8e-05
  40000      1.48e-01    1.35e-01      5.60e-04    6.81e-04      2.78e-02    2.52e-02    2.8e-05
  41000      1.33e-01    1.16e-01      1.32e-03    6.81e-04      3.18e-02    2.76e-02    1.7e-05
  42000      1.38e-01    1.08e-01      1.34e-03    9.53e-04      3.29e-02    2.59e-02    1.7e-05
  43000      1.05e-01    1.28e-01      8.95e-04    1.23e-03      2.51e-02    3.05e-02    1.7e-05
  44000      1.37e-01    1.04e-01      1.72e-03    1.26e-03      3.28e-02    2.48e-02    1.7e-05
  45000      1.34e-01    1.15e-01      2.35e-03    2.72e-03      3.21e-02    2.74e-02    1.7e-05
  46000      1.08e-01    5.64e-02      6.78e-04    7.26e-04      3.27e-02    1.71e-02    9.9e-06
  47000      1.12e-01    6.77e-02      6.00e-04    7.23e-04      3.40e-02    2.05e-02    9.9e-06
  48000      9.28e-02    9.87e-02      3.12e-04    3.79e-04      2.81e-02    2.99e-02    9.9e-06
  49000      1.03e-01    7.65e-02      1.72e-03    1.43e-03      3.13e-02    2.32e-02    9.9e-06
  50000      1.24e-01    8.78e-02      6.23e-04    8.31e-04      3.75e-02    2.66e-02    9.9e-06
