ID,Frame,MaxFDev_eV_A,AvgFDev_eV_A,RMSD_A,Timestamp
1,1,0.1021,0.0400,0.3214,2026-04-17 23:26:26
2,99,0.1154,0.0506,0.0735,2026-04-17 23:26:26
