# step       rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn   lr      
# If there is no available reference data, rmse_*_{val,trn} will print nan
      1      8.10e+01    4.32e+01      8.89e-01    7.01e-01      2.56e+00    1.37e+00    1.0e-03
   1000      6.92e+00    6.76e+00      7.42e-01    7.04e-01      2.19e-01    2.13e-01    1.0e-03
   2000      4.50e+00    4.51e+00      2.50e-03    2.67e-02      1.42e-01    1.43e-01    1.0e-03
   3000      3.54e+00    3.28e+00      2.62e-02    2.66e-02      1.12e-01    1.04e-01    1.0e-03
   4000      3.91e+00    4.85e+00      2.90e-02    5.79e-02      1.24e-01    1.53e-01    1.0e-03
   5000      2.92e+00    3.63e+00      3.56e-02    1.72e-02      9.23e-02    1.15e-01    1.0e-03
   6000      1.72e+00    1.67e+00      1.33e-02    1.49e-02      7.03e-02    6.81e-02    6.0e-04
   7000      2.04e+00    1.96e+00      2.98e-02    1.57e-02      8.35e-02    8.02e-02    6.0e-04
   8000      1.67e+00    1.54e+00      1.32e-02    1.10e-02      6.83e-02    6.29e-02    6.0e-04
   9000      1.63e+00    1.47e+00      1.59e-02    9.89e-03      6.66e-02    5.99e-02    6.0e-04
  10000      1.17e+00    1.66e+00      1.19e-02    1.23e-02      4.76e-02    6.78e-02    6.0e-04
  11000      9.72e-01    1.28e+00      2.01e-02    1.31e-02      5.12e-02    6.77e-02    3.6e-04
  12000      9.16e-01    9.13e-01      2.09e-02    1.11e-02      4.83e-02    4.82e-02    3.6e-04
  13000      1.11e+00    8.56e-01      2.02e-03    7.87e-03      5.85e-02    4.52e-02    3.6e-04
  14000      1.21e+00    1.21e+00      2.90e-02    3.99e-02      6.36e-02    6.36e-02    3.6e-04
  15000      1.02e+00    8.02e-01      6.32e-03    8.93e-03      5.36e-02    4.23e-02    3.6e-04
  16000      7.31e-01    6.34e-01      2.07e-03    6.56e-03      4.98e-02    4.32e-02    2.1e-04
  17000      5.27e-01    5.72e-01      3.10e-03    3.75e-03      3.59e-02    3.89e-02    2.1e-04
  18000      7.96e-01    6.14e-01      7.49e-03    9.31e-03      5.42e-02    4.18e-02    2.1e-04
  19000      6.78e-01    5.86e-01      2.33e-03    5.27e-03      4.62e-02    3.99e-02    2.1e-04
  20000      7.57e-01    6.00e-01      2.11e-03    2.74e-03      5.16e-02    4.08e-02    2.1e-04
  21000      4.55e-01    5.21e-01      3.58e-03    6.13e-03      4.00e-02    4.58e-02    1.3e-04
  22000      4.32e-01    3.40e-01      4.92e-04    2.44e-03      3.80e-02    2.99e-02    1.3e-04
  23000      4.38e-01    3.97e-01      5.85e-03    7.52e-03      3.85e-02    3.49e-02    1.3e-04
  24000      4.08e-01    4.25e-01      1.06e-02    5.15e-03      3.57e-02    3.73e-02    1.3e-04
  25000      4.49e-01    4.25e-01      1.45e-02    8.22e-03      3.93e-02    3.73e-02    1.3e-04
  26000      3.38e-01    3.34e-01      3.49e-03    4.73e-03      3.83e-02    3.79e-02    7.7e-05
  27000      3.33e-01    2.59e-01      8.29e-03    6.34e-03      3.77e-02    2.93e-02    7.7e-05
  28000      3.55e-01    2.54e-01      1.09e-03    6.79e-04      4.03e-02    2.87e-02    7.7e-05
  29000      3.34e-01    2.87e-01      7.59e-03    7.95e-03      3.77e-02    3.24e-02    7.7e-05
  30000      3.44e-01    2.44e-01      4.28e-03    5.98e-03      3.90e-02    2.76e-02    7.7e-05
  31000      2.80e-01    2.88e-01      1.46e-03    1.04e-03      4.09e-02    4.20e-02    4.6e-05
  32000      2.28e-01    1.60e-01      5.66e-03    3.63e-03      3.32e-02    2.33e-02    4.6e-05
  33000      2.45e-01    1.94e-01      1.43e-03    1.76e-03      3.57e-02    2.82e-02    4.6e-05
  34000      2.28e-01    2.85e-01      6.17e-03    6.01e-03      3.32e-02    4.15e-02    4.6e-05
  35000      2.80e-01    2.45e-01      1.74e-03    3.87e-03      4.08e-02    3.57e-02    4.6e-05
  36000      1.98e-01    1.52e-01      2.65e-03    2.79e-03      3.70e-02    2.84e-02    2.8e-05
  37000      1.76e-01    1.91e-01      3.87e-03    2.31e-03      3.29e-02    3.57e-02    2.8e-05
  38000      1.67e-01    1.37e-01      1.80e-03    1.03e-03      3.12e-02    2.57e-02    2.8e-05
  39000      1.37e-01    1.42e-01      1.91e-03    1.75e-03      2.55e-02    2.66e-02    2.8e-05
  40000      2.12e-01    1.98e-01      4.80e-03    1.30e-03      3.96e-02    3.70e-02    2.8e-05
  41000      2.09e-01    1.00e-01      6.82e-03    5.87e-03      4.98e-02    2.37e-02    1.7e-05
  42000      1.20e-01    9.98e-02      8.26e-04    5.39e-04      2.87e-02    2.39e-02    1.7e-05
  43000      1.69e-01    1.22e-01      1.79e-03    6.16e-04      4.05e-02    2.91e-02    1.7e-05
  44000      1.45e-01    1.03e-01      3.23e-03    2.83e-03      3.45e-02    2.47e-02    1.7e-05
  45000      1.18e-01    1.20e-01      5.83e-04    2.41e-03      2.82e-02    2.86e-02    1.7e-05
  46000      1.39e-01    1.08e-01      1.89e-03    6.11e-04      4.21e-02    3.28e-02    9.9e-06
  47000      8.69e-02    9.57e-02      3.34e-03    3.89e-03      2.62e-02    2.88e-02    9.9e-06
  48000      1.04e-01    1.10e-01      5.73e-04    5.85e-04      3.17e-02    3.33e-02    9.9e-06
  49000      9.66e-02    8.33e-02      9.87e-04    1.37e-03      2.93e-02    2.52e-02    9.9e-06
  50000      1.10e-01    8.33e-02      1.07e-03    2.31e-04      3.33e-02    2.53e-02    9.9e-06
  51000      6.23e-02    5.42e-02      2.80e-04    1.10e-03      2.37e-02    2.06e-02    5.9e-06
  52000      9.71e-02    6.27e-02      1.61e-03    1.27e-03      3.69e-02    2.38e-02    5.9e-06
  53000      6.90e-02    9.76e-02      1.30e-03    2.12e-03      2.62e-02    3.70e-02    5.9e-06
  54000      9.66e-02    6.39e-02      5.72e-04    2.04e-03      3.67e-02    2.42e-02    5.9e-06
  55000      9.82e-02    5.82e-02      1.13e-04    3.89e-04      3.73e-02    2.21e-02    5.9e-06
  56000      6.79e-02    6.18e-02      6.02e-04    8.07e-04      3.18e-02    2.90e-02    3.5e-06
  57000      7.47e-02    5.47e-02      8.63e-04    4.26e-04      3.50e-02    2.57e-02    3.5e-06
  58000      5.70e-02    6.36e-02      8.55e-04    4.12e-04      2.67e-02    2.98e-02    3.5e-06
  59000      7.17e-02    5.67e-02      1.05e-03    1.14e-03      3.36e-02    2.66e-02    3.5e-06
  60000      4.95e-02    5.10e-02      5.89e-04    2.40e-04      2.32e-02    2.39e-02    3.5e-06
  61000      6.08e-02    5.39e-02      1.12e-03    8.36e-04      3.44e-02    3.05e-02    2.1e-06
  62000      6.26e-02    4.37e-02      7.04e-04    5.36e-04      3.54e-02    2.47e-02    2.1e-06
  63000      5.20e-02    4.83e-02      6.60e-04    5.74e-04      2.94e-02    2.73e-02    2.1e-06
  64000      4.48e-02    5.20e-02      4.82e-04    7.77e-04      2.53e-02    2.94e-02    2.1e-06
  65000      6.78e-02    5.28e-02      1.20e-03    3.82e-04      3.83e-02    2.99e-02    2.1e-06
  66000      5.20e-02    3.57e-02      6.91e-04    9.82e-04      3.45e-02    2.36e-02    1.3e-06
  67000      5.80e-02    3.77e-02      9.51e-04    1.09e-03      3.85e-02    2.49e-02    1.3e-06
  68000      4.80e-02    4.84e-02      1.03e-03    4.34e-04      3.18e-02    3.21e-02    1.3e-06
  69000      4.84e-02    4.17e-02      1.41e-03    8.67e-04      3.20e-02    2.77e-02    1.3e-06
  70000      4.83e-02    5.11e-02      4.90e-04    5.58e-04      3.20e-02    3.39e-02    1.3e-06
  71000      4.80e-02    3.21e-02      5.20e-04    4.68e-04      3.62e-02    2.42e-02    7.6e-07
  72000      5.30e-02    2.22e-02      1.08e-03    7.60e-04      3.99e-02    1.67e-02    7.6e-07
  73000      4.39e-02    3.11e-02      6.45e-04    7.53e-04      3.31e-02    2.34e-02    7.6e-07
  74000      4.47e-02    3.56e-02      7.20e-04    9.00e-04      3.37e-02    2.68e-02    7.6e-07
  75000      4.08e-02    3.45e-02      1.04e-03    8.22e-04      3.07e-02    2.60e-02    7.6e-07
  76000      4.46e-02    3.06e-02      1.46e-03    1.13e-03      3.68e-02    2.53e-02    4.6e-07
  77000      3.30e-02    3.03e-02      5.65e-04    6.45e-04      2.73e-02    2.51e-02    4.6e-07
  78000      3.24e-02    3.43e-02      4.43e-04    5.20e-04      2.68e-02    2.84e-02    4.6e-07
  79000      4.90e-02    4.45e-02      1.78e-03    1.48e-03      4.04e-02    3.67e-02    4.6e-07
  80000      4.02e-02    3.35e-02      1.11e-03    4.52e-04      3.32e-02    2.78e-02    4.6e-07
  81000      3.61e-02    3.18e-02      1.17e-03    4.32e-04      3.18e-02    2.81e-02    2.7e-07
  82000      3.99e-02    3.18e-02      1.32e-03    3.62e-04      3.53e-02    2.81e-02    2.7e-07
  83000      2.20e-02    2.95e-02      4.13e-04    8.53e-04      1.94e-02    2.61e-02    2.7e-07
  84000      3.47e-02    3.14e-02      6.80e-04    7.98e-04      3.07e-02    2.77e-02    2.7e-07
  85000      3.33e-02    4.19e-02      7.27e-04    1.05e-03      2.95e-02    3.70e-02    2.7e-07
  86000      2.42e-02    3.41e-02      9.84e-04    8.91e-04      2.23e-02    3.16e-02    1.6e-07
  87000      3.57e-02    3.43e-02      1.03e-03    7.00e-04      3.30e-02    3.18e-02    1.6e-07
  88000      2.61e-02    4.44e-02      3.12e-04    1.51e-03      2.42e-02    4.10e-02    1.6e-07
  89000      2.80e-02    2.66e-02      5.05e-04    4.93e-04      2.59e-02    2.46e-02    1.6e-07
  90000      3.88e-02    3.28e-02      7.51e-04    5.87e-04      3.59e-02    3.04e-02    1.6e-07
  91000      3.41e-02    2.71e-02      4.18e-04    4.82e-04      3.25e-02    2.58e-02    9.8e-08
  92000      3.99e-02    2.29e-02      1.12e-03    6.14e-04      3.80e-02    2.18e-02    9.8e-08
  93000      2.28e-02    2.84e-02      5.20e-04    1.13e-03      2.17e-02    2.70e-02    9.8e-08
  94000      3.08e-02    3.54e-02      6.21e-04    1.13e-03      2.93e-02    3.36e-02    9.8e-08
  95000      2.84e-02    2.20e-02      5.57e-04    2.41e-04      2.70e-02    2.10e-02    9.8e-08
  96000      2.82e-02    3.56e-02      3.33e-04    6.49e-04      2.74e-02    3.46e-02    5.9e-08
  97000      2.63e-02    2.44e-02      4.86e-04    6.29e-04      2.55e-02    2.37e-02    5.9e-08
  98000      2.45e-02    2.98e-02      4.08e-04    5.32e-04      2.38e-02    2.89e-02    5.9e-08
  99000      2.97e-02    2.13e-02      1.01e-03    3.46e-04      2.87e-02    2.06e-02    5.9e-08
 100000      3.09e-02    3.07e-02      3.88e-04    8.89e-04      3.00e-02    2.97e-02    5.9e-08
