# step       rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn   lr      
# If there is no available reference data, rmse_*_{val,trn} will print nan
      1      8.55e+01    3.21e+01      2.25e-01    1.44e+00      2.70e+00    1.01e+00    1.0e-03
   1000      6.56e+00    6.28e+00      1.36e-02    2.08e-02      2.08e-01    1.98e-01    1.0e-03
   2000      3.86e+00    4.86e+00      2.04e-02    1.96e-02      1.22e-01    1.54e-01    1.0e-03
   3000      3.19e+00    3.87e+00      4.05e-03    7.68e-03      1.01e-01    1.22e-01    1.0e-03
   4000      4.24e+00    3.04e+00      2.63e-02    2.65e-02      1.34e-01    9.60e-02    1.0e-03
   5000      2.72e+00    3.86e+00      1.03e-02    1.12e-02      8.59e-02    1.22e-01    1.0e-03
   6000      1.58e+00    2.07e+00      1.28e-02    1.90e-02      6.45e-02    8.46e-02    6.0e-04
   7000      1.75e+00    2.06e+00      1.69e-02    1.18e-02      7.14e-02    8.40e-02    6.0e-04
   8000      1.45e+00    1.67e+00      1.82e-03    5.11e-03      5.92e-02    6.82e-02    6.0e-04
   9000      1.44e+00    1.53e+00      2.38e-02    2.16e-02      5.89e-02    6.25e-02    6.0e-04
  10000      1.37e+00    1.41e+00      2.01e-03    5.96e-03      5.60e-02    5.78e-02    6.0e-04
  11000      1.10e+00    1.14e+00      3.79e-03    3.34e-03      5.80e-02    6.03e-02    3.6e-04
  12000      1.12e+00    9.59e-01      3.93e-03    3.66e-03      5.92e-02    5.06e-02    3.6e-04
  13000      8.37e-01    1.01e+00      1.22e-02    1.35e-02      4.41e-02    5.34e-02    3.6e-04
  14000      1.06e+00    1.41e+00      1.09e-02    1.11e-02      5.60e-02    7.43e-02    3.6e-04
  15000      1.17e+00    9.29e-01      9.29e-03    8.65e-03      6.16e-02    4.90e-02    3.6e-04
  16000      6.30e-01    5.97e-01      3.22e-03    2.34e-03      4.29e-02    4.07e-02    2.1e-04
  17000      7.45e-01    7.14e-01      3.67e-03    5.27e-03      5.08e-02    4.86e-02    2.1e-04
  18000      5.74e-01    7.00e-01      3.98e-03    9.22e-03      3.91e-02    4.76e-02    2.1e-04
  19000      7.40e-01    7.82e-01      5.49e-03    5.08e-03      5.04e-02    5.33e-02    2.1e-04
  20000      5.41e-01    6.41e-01      6.45e-03    1.41e-02      3.68e-02    4.36e-02    2.1e-04
  21000      3.32e-01    3.53e-01      3.18e-03    5.64e-03      2.92e-02    3.10e-02    1.3e-04
  22000      5.63e-01    3.76e-01      2.01e-03    1.56e-03      4.95e-02    3.31e-02    1.3e-04
  23000      3.90e-01    4.21e-01      7.64e-03    3.24e-03      3.42e-02    3.70e-02    1.3e-04
  24000      3.47e-01    3.25e-01      1.48e-03    1.87e-03      3.05e-02    2.85e-02    1.3e-04
  25000      5.20e-01    4.44e-01      8.12e-03    8.05e-03      4.56e-02    3.89e-02    1.3e-04
  26000      3.29e-01    3.50e-01      1.45e-03    2.23e-03      3.72e-02    3.97e-02    7.7e-05
  27000      2.99e-01    3.05e-01      2.44e-03    1.79e-03      3.38e-02    3.46e-02    7.7e-05
  28000      2.64e-01    2.87e-01      1.71e-03    1.62e-03      2.99e-02    3.25e-02    7.7e-05
