# step       rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn   lr      
# If there is no available reference data, rmse_*_{val,trn} will print nan
      1      5.77e+01    3.15e+01      1.61e-01    3.46e-01      1.82e+00    9.97e-01    1.0e-03
   1000      9.28e+00    7.40e+00      5.00e-01    4.73e-01      2.93e-01    2.34e-01    1.0e-03
   2000      3.90e+00    3.57e+00      7.32e-03    6.74e-03      1.23e-01    1.13e-01    1.0e-03
   3000      4.02e+00    3.83e+00      3.23e-02    1.39e-02      1.27e-01    1.21e-01    1.0e-03
   4000      2.97e+00    3.56e+00      5.25e-02    4.79e-02      9.41e-02    1.13e-01    1.0e-03
   5000      2.90e+00    2.08e+00      8.00e-02    7.82e-02      9.18e-02    6.58e-02    1.0e-03
   6000      1.59e+00    1.92e+00      1.70e-02    1.50e-02      6.48e-02    7.84e-02    6.0e-04
   7000      1.93e+00    1.70e+00      7.37e-03    7.91e-03      7.90e-02    6.93e-02    6.0e-04
   8000      2.50e+00    1.76e+00      6.05e-03    1.99e-02      1.02e-01    7.18e-02    6.0e-04
   9000      1.52e+00    1.34e+00      4.98e-03    8.47e-03      6.21e-02    5.47e-02    6.0e-04
  10000      1.49e+00    1.56e+00      5.06e-03    7.56e-03      6.09e-02    6.36e-02    6.0e-04
  11000      1.09e+00    1.01e+00      1.95e-03    2.52e-03      5.76e-02    5.33e-02    3.6e-04
  12000      8.12e-01    8.05e-01      2.10e-03    6.09e-03      4.28e-02    4.25e-02    3.6e-04
  13000      7.84e-01    7.52e-01      3.20e-03    3.77e-03      4.14e-02    3.97e-02    3.6e-04
  14000      8.44e-01    9.76e-01      2.46e-03    2.18e-03      4.45e-02    5.15e-02    3.6e-04
  15000      7.68e-01    7.92e-01      1.07e-02    1.34e-02      4.05e-02    4.17e-02    3.6e-04
  16000      6.58e-01    7.65e-01      2.20e-03    1.54e-03      4.48e-02    5.21e-02    2.1e-04
  17000      6.24e-01    4.91e-01      6.79e-03    2.11e-03      4.25e-02    3.34e-02    2.1e-04
  18000      6.11e-01    5.40e-01      4.95e-03    4.69e-03      4.16e-02    3.68e-02    2.1e-04
  19000      5.76e-01    5.90e-01      4.67e-03    3.55e-03      3.93e-02    4.02e-02    2.1e-04
  20000      5.78e-01    6.52e-01      7.06e-03    6.48e-03      3.94e-02    4.44e-02    2.1e-04
  21000      3.96e-01    3.23e-01      4.41e-04    4.91e-04      3.48e-02    2.84e-02    1.3e-04
  22000      4.07e-01    3.69e-01      1.57e-03    7.46e-04      3.58e-02    3.24e-02    1.3e-04
  23000      4.39e-01    3.65e-01      3.02e-03    1.78e-03      3.86e-02    3.21e-02    1.3e-04
  24000      3.61e-01    3.67e-01      1.42e-03    2.49e-03      3.18e-02    3.22e-02    1.3e-04
  25000      5.14e-01    3.33e-01      2.23e-03    9.33e-04      4.52e-02    2.92e-02    1.3e-04
  26000      2.74e-01    3.01e-01      1.85e-03    2.29e-03      3.10e-02    3.41e-02    7.7e-05
  27000      2.85e-01    2.19e-01      6.65e-04    7.18e-04      3.23e-02    2.48e-02    7.7e-05
  28000      3.31e-01    2.89e-01      7.82e-04    1.97e-03      3.75e-02    3.28e-02    7.7e-05
  29000      2.26e-01    2.53e-01      8.58e-04    1.99e-03      2.56e-02    2.87e-02    7.7e-05
