# step       rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn   lr      
# If there is no available reference data, rmse_*_{val,trn} will print nan
      1      9.10e+01    3.71e+01      1.56e+00    1.28e-01      2.88e+00    1.17e+00    1.0e-03
   1000      6.16e+00    5.55e+00      2.34e-01    2.48e-01      1.95e-01    1.75e-01    1.0e-03
   2000      3.96e+00    4.63e+00      4.96e-02    1.51e-02      1.25e-01    1.46e-01    1.0e-03
   3000      3.49e+00    3.48e+00      3.77e-02    3.31e-02      1.10e-01    1.10e-01    1.0e-03
   4000      2.42e+00    4.09e+00      1.46e-02    2.29e-02      7.65e-02    1.29e-01    1.0e-03
   5000      3.30e+00    2.45e+00      1.21e-02    8.75e-03      1.04e-01    7.74e-02    1.0e-03
   6000      2.03e+00    1.98e+00      9.78e-03    9.00e-03      8.29e-02    8.09e-02    6.0e-04
   7000      1.63e+00    1.95e+00      2.92e-03    3.62e-03      6.67e-02    7.96e-02    6.0e-04
   8000      1.50e+00    1.35e+00      1.83e-02    1.87e-02      6.14e-02    5.52e-02    6.0e-04
   9000      1.68e+00    2.14e+00      9.80e-03    1.29e-02      6.87e-02    8.74e-02    6.0e-04
  10000      1.64e+00    1.57e+00      4.65e-03    2.40e-03      6.70e-02    6.41e-02    6.0e-04
  11000      1.06e+00    8.93e-01      6.37e-03    5.78e-03      5.57e-02    4.71e-02    3.6e-04
  12000      9.80e-01    1.45e+00      1.05e-02    1.49e-02      5.17e-02    7.64e-02    3.6e-04
  13000      1.03e+00    1.18e+00      3.13e-03    3.73e-03      5.45e-02    6.23e-02    3.6e-04
  14000      9.54e-01    1.10e+00      1.60e-02    1.53e-02      5.03e-02    5.78e-02    3.6e-04
  15000      8.72e-01    6.72e-01      5.96e-03    8.14e-03      4.60e-02    3.54e-02    3.6e-04
  16000      5.14e-01    6.00e-01      2.73e-03    3.29e-03      3.50e-02    4.08e-02    2.1e-04
  17000      7.03e-01    6.44e-01      2.72e-03    1.18e-03      4.79e-02    4.39e-02    2.1e-04
  18000      6.42e-01    6.94e-01      5.76e-03    2.22e-03      4.37e-02    4.73e-02    2.1e-04
  19000      6.16e-01    6.45e-01      9.20e-03    9.99e-03      4.19e-02    4.39e-02    2.1e-04
  20000      6.41e-01    7.04e-01      5.43e-03    6.17e-03      4.37e-02    4.79e-02    2.1e-04
  21000      4.02e-01    2.98e-01      8.16e-04    5.98e-04      3.53e-02    2.62e-02    1.3e-04
  22000      3.68e-01    3.78e-01      3.58e-03    3.49e-03      3.23e-02    3.32e-02    1.3e-04
  23000      4.97e-01    4.81e-01      1.58e-03    2.69e-03      4.37e-02    4.23e-02    1.3e-04
  24000      3.46e-01    4.22e-01      4.09e-03    6.17e-03      3.04e-02    3.70e-02    1.3e-04
  25000      3.67e-01    4.74e-01      1.50e-03    6.76e-03      3.23e-02    4.17e-02    1.3e-04
  26000      3.63e-01    2.79e-01      1.69e-03    1.85e-03      4.11e-02    3.16e-02    7.7e-05
  27000      3.32e-01    2.62e-01      1.05e-03    3.83e-04      3.76e-02    2.96e-02    7.7e-05
  28000      2.93e-01    2.16e-01      1.14e-03    2.11e-03      3.32e-02    2.45e-02    7.7e-05
  29000      2.42e-01    2.84e-01      4.56e-03    5.22e-03      2.74e-02    3.21e-02    7.7e-05
