# step       rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn   lr      
# If there is no available reference data, rmse_*_{val,trn} will print nan
      1      9.48e+01    2.98e+01      3.29e-01    1.41e+00      3.00e+00    9.42e-01    1.0e-03
   1000      5.81e+00    4.19e+00      9.39e-03    2.45e-02      1.84e-01    1.33e-01    1.0e-03
   2000      3.75e+00    5.38e+00      2.41e-02    3.46e-02      1.19e-01    1.70e-01    1.0e-03
   3000      2.79e+00    4.43e+00      1.70e-02    2.84e-02      8.83e-02    1.40e-01    1.0e-03
   4000      2.73e+00    3.91e+00      8.83e-02    7.93e-02      8.64e-02    1.24e-01    1.0e-03
   5000      3.66e+00    1.97e+00      6.07e-02    4.94e-02      1.16e-01    6.24e-02    1.0e-03
   6000      1.85e+00    1.82e+00      3.87e-02    2.50e-02      7.56e-02    7.42e-02    6.0e-04
   7000      1.62e+00    1.91e+00      1.05e-02    9.54e-03      6.63e-02    7.81e-02    6.0e-04
   8000      2.02e+00    1.72e+00      1.06e-02    8.39e-03      8.26e-02    7.04e-02    6.0e-04
   9000      1.85e+00    1.58e+00      2.38e-02    4.09e-02      7.56e-02    6.43e-02    6.0e-04
  10000      1.63e+00    1.46e+00      4.97e-02    6.05e-02      6.66e-02    5.95e-02    6.0e-04
  11000      1.01e+00    1.12e+00      4.21e-03    7.03e-03      5.35e-02    5.89e-02    3.6e-04
  12000      8.77e-01    7.59e-01      1.19e-02    1.59e-02      4.62e-02    4.00e-02    3.6e-04
  13000      1.10e+00    1.25e+00      1.12e-02    2.04e-02      5.82e-02    6.61e-02    3.6e-04
  14000      8.93e-01    8.28e-01      2.43e-02    1.79e-02      4.70e-02    4.36e-02    3.6e-04
  15000      1.10e+00    1.02e+00      1.81e-03    1.06e-02      5.80e-02    5.37e-02    3.6e-04
  16000      6.05e-01    6.46e-01      2.47e-03    1.94e-03      4.12e-02    4.40e-02    2.1e-04
  17000      6.45e-01    7.96e-01      5.57e-03    5.92e-03      4.39e-02    5.42e-02    2.1e-04
