# step       rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn   lr      
# If there is no available reference data, rmse_*_{val,trn} will print nan
      1      4.31e+01    3.89e+01      5.89e-01    1.73e-02      1.36e+00    1.23e+00    1.0e-03
   1000      7.38e+00    6.59e+00      5.60e-01    5.91e-01      2.33e-01    2.08e-01    1.0e-03
   2000      4.04e+00    4.63e+00      3.79e-02    4.34e-02      1.28e-01    1.47e-01    1.0e-03
   3000      3.37e+00    4.57e+00      5.14e-02    5.58e-02      1.07e-01    1.45e-01    1.0e-03
   4000      4.12e+00    2.94e+00      6.85e-03    4.41e-03      1.30e-01    9.28e-02    1.0e-03
   5000      3.69e+00    2.95e+00      1.68e-02    2.62e-02      1.17e-01    9.33e-02    1.0e-03
   6000      1.41e+00    1.96e+00      6.45e-03    5.35e-03      5.77e-02    8.00e-02    6.0e-04
   7000      2.00e+00    1.58e+00      2.59e-02    2.36e-02      8.17e-02    6.45e-02    6.0e-04
   8000      1.38e+00    1.53e+00      3.59e-02    3.60e-02      5.65e-02    6.25e-02    6.0e-04
   9000      1.93e+00    1.51e+00      2.27e-02    2.01e-02      7.90e-02    6.17e-02    6.0e-04
  10000      1.49e+00    2.10e+00      1.62e-02    1.63e-02      6.10e-02    8.58e-02    6.0e-04
  11000      1.15e+00    1.02e+00      3.88e-03    2.84e-03      6.05e-02    5.38e-02    3.6e-04
  12000      1.04e+00    1.07e+00      3.96e-03    1.13e-02      5.47e-02    5.64e-02    3.6e-04
  13000      1.28e+00    1.21e+00      1.12e-02    5.88e-03      6.75e-02    6.39e-02    3.6e-04
  14000      7.13e-01    1.14e+00      1.35e-03    2.42e-03      3.76e-02    6.00e-02    3.6e-04
  15000      1.14e+00    7.19e-01      3.36e-03    2.40e-03      6.03e-02    3.79e-02    3.6e-04
  16000      7.10e-01    6.63e-01      5.01e-03    2.93e-03      4.83e-02    4.52e-02    2.1e-04
  17000      6.57e-01    5.88e-01      2.73e-03    3.81e-03      4.48e-02    4.00e-02    2.1e-04
  18000      6.79e-01    5.38e-01      2.82e-03    8.45e-04      4.63e-02    3.66e-02    2.1e-04
  19000      5.33e-01    6.67e-01      8.54e-03    1.08e-02      3.63e-02    4.54e-02    2.1e-04
  20000      6.81e-01    5.71e-01      1.12e-02    1.46e-02      4.64e-02    3.88e-02    2.1e-04
  21000      3.31e-01    4.82e-01      4.67e-03    4.54e-03      2.91e-02    4.24e-02    1.3e-04
  22000      4.00e-01    4.78e-01      7.60e-04    2.39e-03      3.51e-02    4.20e-02    1.3e-04
  23000      4.42e-01    6.52e-01      7.90e-03    1.47e-02      3.88e-02    5.73e-02    1.3e-04
  24000      5.91e-01    4.29e-01      5.08e-03    2.59e-03      5.19e-02    3.77e-02    1.3e-04
  25000      4.39e-01    4.73e-01      2.82e-03    4.37e-03      3.86e-02    4.16e-02    1.3e-04
  26000      3.17e-01    3.86e-01      6.90e-04    1.12e-03      3.59e-02    4.37e-02    7.7e-05
  27000      3.18e-01    2.75e-01      8.97e-04    2.16e-03      3.60e-02    3.12e-02    7.7e-05
  28000      2.54e-01    2.65e-01      4.05e-03    5.22e-03      2.88e-02    3.00e-02    7.7e-05
  29000      2.80e-01    2.48e-01      2.16e-03    2.10e-03      3.17e-02    2.81e-02    7.7e-05
  30000      4.26e-01    2.42e-01      2.33e-03    2.89e-03      4.82e-02    2.74e-02    7.7e-05
  31000      3.01e-01    1.63e-01      3.22e-03    4.21e-03      4.39e-02    2.37e-02    4.6e-05
  32000      1.99e-01    2.40e-01      2.24e-03    3.30e-03      2.90e-02    3.50e-02    4.6e-05
  33000      2.72e-01    2.68e-01      3.26e-03    1.51e-03      3.97e-02    3.91e-02    4.6e-05
  34000      2.04e-01    2.43e-01      1.18e-03    1.59e-03      2.97e-02    3.54e-02    4.6e-05
  35000      2.13e-01    1.97e-01      3.31e-03    4.39e-03      3.10e-02    2.86e-02    4.6e-05
  36000      1.98e-01    1.34e-01      1.60e-03    1.11e-03      3.69e-02    2.50e-02    2.8e-05
  37000      1.20e-01    1.65e-01      2.78e-03    3.18e-03      2.25e-02    3.08e-02    2.8e-05
