# step       rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn   lr      
# If there is no available reference data, rmse_*_{val,trn} will print nan
      1      5.36e+01    3.65e+01      2.16e+00    1.19e+00      1.69e+00    1.15e+00    1.0e-03
   1000      6.69e+00    7.40e+00      3.36e-01    4.04e-01      2.11e-01    2.34e-01    1.0e-03
   2000      5.01e+00    4.50e+00      4.91e-02    5.22e-02      1.58e-01    1.42e-01    1.0e-03
   3000      4.19e+00    4.18e+00      6.88e-02    6.83e-02      1.32e-01    1.32e-01    1.0e-03
   4000      3.89e+00    4.67e+00      7.78e-03    1.68e-02      1.23e-01    1.48e-01    1.0e-03
   5000      2.87e+00    2.51e+00      1.87e-02    1.87e-02      9.06e-02    7.94e-02    1.0e-03
   6000      1.47e+00    1.78e+00      9.78e-03    7.11e-03      6.01e-02    7.29e-02    6.0e-04
   7000      1.98e+00    1.86e+00      5.72e-03    3.60e-03      8.08e-02    7.58e-02    6.0e-04
   8000      1.58e+00    2.15e+00      1.17e-02    7.14e-03      6.44e-02    8.79e-02    6.0e-04
   9000      1.89e+00    1.18e+00      4.58e-03    2.59e-03      7.73e-02    4.82e-02    6.0e-04
  10000      1.80e+00    2.00e+00      1.32e-02    1.48e-02      7.34e-02    8.17e-02    6.0e-04
  11000      9.92e-01    1.20e+00      1.65e-03    3.42e-03      5.23e-02    6.35e-02    3.6e-04
  12000      9.07e-01    1.21e+00      3.80e-03    7.01e-03      4.79e-02    6.41e-02    3.6e-04
  13000      8.91e-01    9.21e-01      3.10e-02    2.41e-02      4.68e-02    4.85e-02    3.6e-04
  14000      1.78e+00    1.09e+00      3.73e-02    3.36e-02      9.38e-02    5.76e-02    3.6e-04
  15000      1.45e+00    1.34e+00      3.55e-02    4.35e-02      7.64e-02    7.06e-02    3.6e-04
  16000      6.33e-01    6.35e-01      4.66e-03    5.31e-03      4.31e-02    4.32e-02    2.1e-04
  17000      6.48e-01    5.38e-01      2.68e-03    4.49e-03      4.42e-02    3.66e-02    2.1e-04
  18000      7.28e-01    6.18e-01      9.32e-03    7.82e-03      4.96e-02    4.20e-02    2.1e-04
  19000      5.70e-01    4.98e-01      1.37e-03    2.07e-03      3.88e-02    3.39e-02    2.1e-04
  20000      6.01e-01    4.66e-01      6.96e-03    2.75e-03      4.09e-02    3.18e-02    2.1e-04
  21000      3.64e-01    3.86e-01      2.32e-03    2.42e-03      3.20e-02    3.39e-02    1.3e-04
  22000      4.27e-01    3.07e-01      1.82e-03    2.17e-03      3.75e-02    2.70e-02    1.3e-04
  23000      4.52e-01    3.45e-01      9.08e-04    3.55e-03      3.97e-02    3.04e-02    1.3e-04
  24000      4.63e-01    3.84e-01      6.82e-03    1.20e-03      4.07e-02    3.37e-02    1.3e-04
  25000      4.38e-01    4.74e-01      5.45e-03    3.79e-03      3.85e-02    4.17e-02    1.3e-04
  26000      2.22e-01    2.78e-01      5.29e-04    2.38e-03      2.52e-02    3.15e-02    7.7e-05
  27000      3.35e-01    2.05e-01      2.63e-03    4.74e-04      3.80e-02    2.32e-02    7.7e-05
  28000      3.34e-01    3.40e-01      2.33e-03    1.25e-03      3.78e-02    3.85e-02    7.7e-05
  29000      3.32e-01    2.73e-01      2.98e-03    5.25e-03      3.76e-02    3.09e-02    7.7e-05
  30000      2.41e-01    3.14e-01      2.38e-03    6.90e-04      2.73e-02    3.55e-02    7.7e-05
  31000      1.92e-01    1.89e-01      2.74e-03    2.97e-03      2.79e-02    2.75e-02    4.6e-05
  32000      2.14e-01    2.03e-01      6.93e-04    2.71e-03      3.12e-02    2.95e-02    4.6e-05
  33000      2.72e-01    1.91e-01      1.04e-03    9.27e-04      3.97e-02    2.78e-02    4.6e-05
  34000      1.94e-01    2.34e-01      3.40e-03    4.08e-03      2.83e-02    3.40e-02    4.6e-05
  35000      2.44e-01    1.99e-01      3.86e-03    2.44e-03      3.56e-02    2.90e-02    4.6e-05
  36000      9.53e-02    1.48e-01      2.76e-03    2.78e-03      1.78e-02    2.77e-02    2.8e-05
  37000      8.95e-02    1.15e-01      8.54e-04    1.03e-03      1.67e-02    2.15e-02    2.8e-05
  38000      1.69e-01    1.49e-01      8.56e-04    1.29e-03      3.16e-02    2.80e-02    2.8e-05
  39000      1.19e-01    1.58e-01      3.60e-03    3.01e-03      2.22e-02    2.95e-02    2.8e-05
  40000      1.73e-01    1.34e-01      1.27e-03    3.18e-03      3.23e-02    2.50e-02    2.8e-05
  41000      1.27e-01    1.14e-01      4.31e-04    1.01e-03      3.03e-02    2.72e-02    1.7e-05
  42000      1.19e-01    1.03e-01      1.07e-03    2.29e-03      2.84e-02    2.45e-02    1.7e-05
  43000      1.42e-01    8.73e-02      1.32e-03    9.30e-04      3.38e-02    2.08e-02    1.7e-05
  44000      1.01e-01    9.60e-02      1.42e-03    5.72e-04      2.40e-02    2.29e-02    1.7e-05
  45000      1.25e-01    1.21e-01      8.79e-04    8.27e-04      2.99e-02    2.90e-02    1.7e-05
  46000      9.47e-02    8.72e-02      2.09e-03    2.12e-03      2.87e-02    2.64e-02    9.9e-06
