# step       rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn   lr      
# If there is no available reference data, rmse_*_{val,trn} will print nan
      1      5.07e+01    3.20e+01      1.12e+00    6.36e-01      1.60e+00    1.01e+00    1.0e-03
   1000      4.83e+00    7.65e+00      1.58e-01    1.31e-01      1.53e-01    2.42e-01    1.0e-03
   2000      3.31e+00    3.28e+00      3.26e-02    5.49e-02      1.05e-01    1.04e-01    1.0e-03
   3000      3.98e+00    2.90e+00      4.62e-03    5.50e-03      1.26e-01    9.16e-02    1.0e-03
   4000      2.96e+00    3.05e+00      2.00e-02    2.17e-02      9.37e-02    9.64e-02    1.0e-03
   5000      3.02e+00    2.98e+00      4.04e-03    1.48e-02      9.56e-02    9.42e-02    1.0e-03
   6000      1.65e+00    1.95e+00      6.08e-03    3.74e-03      6.74e-02    7.98e-02    6.0e-04
   7000      1.86e+00    1.42e+00      3.19e-02    2.82e-02      7.61e-02    5.81e-02    6.0e-04
   8000      1.91e+00    1.71e+00      2.57e-02    2.06e-02      7.79e-02    7.00e-02    6.0e-04
   9000      1.71e+00    1.45e+00      2.55e-02    2.21e-02      7.00e-02    5.94e-02    6.0e-04
  10000      1.59e+00    1.65e+00      8.39e-03    5.38e-03      6.51e-02    6.73e-02    6.0e-04
  11000      8.55e-01    1.51e+00      1.73e-02    1.08e-02      4.51e-02    7.97e-02    3.6e-04
  12000      7.33e-01    9.32e-01      1.85e-02    1.50e-02      3.86e-02    4.91e-02    3.6e-04
  13000      9.27e-01    1.16e+00      1.35e-02    6.80e-03      4.89e-02    6.12e-02    3.6e-04
  14000      8.59e-01    1.10e+00      6.15e-03    1.12e-02      4.53e-02    5.79e-02    3.6e-04
  15000      8.62e-01    1.00e+00      1.14e-02    1.34e-02      4.55e-02    5.29e-02    3.6e-04
  16000      5.32e-01    7.14e-01      2.17e-03    1.74e-03      3.62e-02    4.87e-02    2.1e-04
  17000      7.52e-01    6.84e-01      1.58e-02    1.32e-02      5.12e-02    4.66e-02    2.1e-04
  18000      4.12e-01    6.57e-01      7.42e-03    8.88e-03      2.80e-02    4.48e-02    2.1e-04
  19000      7.11e-01    5.97e-01      7.79e-03    1.26e-02      4.84e-02    4.06e-02    2.1e-04
  20000      6.40e-01    6.62e-01      9.27e-03    1.19e-02      4.36e-02    4.51e-02    2.1e-04
  21000      5.04e-01    3.66e-01      1.98e-03    2.46e-03      4.43e-02    3.22e-02    1.3e-04
  22000      4.64e-01    4.02e-01      1.27e-02    9.89e-03      4.07e-02    3.53e-02    1.3e-04
