# step       rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn   lr      
# If there is no available reference data, rmse_*_{val,trn} will print nan
      1      5.24e+01    3.20e+01      9.51e-01    1.36e-01      1.66e+00    1.01e+00    1.0e-03
   1000      7.48e+00    7.70e+00      3.82e-01    3.60e-01      2.36e-01    2.43e-01    1.0e-03
   2000      5.31e+00    3.31e+00      4.85e-03    3.76e-02      1.68e-01    1.05e-01    1.0e-03
   3000      2.88e+00    3.28e+00      2.25e-02    2.73e-02      9.09e-02    1.04e-01    1.0e-03
   4000      3.90e+00    4.47e+00      4.79e-02    4.92e-02      1.23e-01    1.41e-01    1.0e-03
   5000      2.86e+00    2.48e+00      4.03e-02    4.01e-02      9.05e-02    7.83e-02    1.0e-03
   6000      1.77e+00    1.73e+00      8.23e-03    9.00e-03      7.23e-02    7.07e-02    6.0e-04
   7000      1.71e+00    1.95e+00      2.39e-02    2.25e-02      7.00e-02    7.95e-02    6.0e-04
   8000      1.42e+00    1.29e+00      1.18e-02    8.39e-03      5.82e-02    5.29e-02    6.0e-04
   9000      1.39e+00    1.29e+00      4.24e-03    3.80e-03      5.68e-02    5.26e-02    6.0e-04
  10000      1.63e+00    1.29e+00      2.49e-02    2.60e-02      6.64e-02    5.27e-02    6.0e-04
  11000      1.07e+00    9.45e-01      9.67e-03    7.15e-03      5.67e-02    4.98e-02    3.6e-04
  12000      1.25e+00    1.09e+00      2.79e-03    3.97e-03      6.59e-02    5.74e-02    3.6e-04
  13000      9.64e-01    1.05e+00      6.62e-03    1.97e-03      5.09e-02    5.53e-02    3.6e-04
  14000      1.04e+00    1.24e+00      3.85e-03    1.84e-03      5.47e-02    6.53e-02    3.6e-04
  15000      9.32e-01    6.03e-01      5.08e-03    1.45e-03      4.92e-02    3.18e-02    3.6e-04
  16000      7.40e-01    5.68e-01      3.33e-03    4.33e-03      5.04e-02    3.87e-02    2.1e-04
  17000      6.28e-01    6.10e-01      2.33e-03    2.36e-03      4.28e-02    4.15e-02    2.1e-04
  18000      5.74e-01    6.35e-01      1.17e-03    4.49e-03      3.91e-02    4.33e-02    2.1e-04
  19000      5.95e-01    5.57e-01      4.46e-03    3.55e-03      4.05e-02    3.79e-02    2.1e-04
  20000      6.25e-01    4.20e-01      5.72e-03    8.08e-03      4.26e-02    2.86e-02    2.1e-04
  21000      4.83e-01    3.38e-01      1.75e-03    1.47e-03      4.25e-02    2.97e-02    1.3e-04
  22000      3.66e-01    3.98e-01      1.60e-03    1.03e-03      3.22e-02    3.50e-02    1.3e-04
  23000      4.80e-01    3.00e-01      1.85e-03    2.01e-03      4.22e-02    2.64e-02    1.3e-04
  24000      4.43e-01    4.27e-01      1.04e-03    1.64e-03      3.90e-02    3.76e-02    1.3e-04
  25000      5.07e-01    3.28e-01      1.49e-03    3.05e-03      4.46e-02    2.88e-02    1.3e-04
  26000      2.85e-01    2.81e-01      3.54e-03    4.81e-03      3.23e-02    3.18e-02    7.7e-05
  27000      3.81e-01    2.39e-01      2.37e-03    6.12e-04      4.32e-02    2.70e-02    7.7e-05
  28000      2.37e-01    2.65e-01      6.43e-04    1.14e-03      2.68e-02    3.01e-02    7.7e-05
  29000      2.42e-01    2.62e-01      2.43e-03    1.03e-03      2.75e-02    2.97e-02    7.7e-05
  30000      2.64e-01    2.69e-01      3.15e-03    3.14e-03      2.99e-02    3.05e-02    7.7e-05
  31000      1.99e-01    1.65e-01      1.34e-03    1.42e-04      2.90e-02    2.41e-02    4.6e-05
  32000      1.68e-01    1.65e-01      1.24e-03    1.50e-03      2.44e-02    2.41e-02    4.6e-05
  33000      2.39e-01    2.50e-01      1.63e-03    1.49e-03      3.48e-02    3.64e-02    4.6e-05
  34000      2.22e-01    1.57e-01      1.70e-03    5.41e-04      3.24e-02    2.29e-02    4.6e-05
  35000      2.27e-01    2.03e-01      1.20e-03    2.23e-03      3.31e-02    2.96e-02    4.6e-05
  36000      1.59e-01    1.37e-01      2.18e-03    1.05e-03      2.97e-02    2.56e-02    2.8e-05
  37000      1.46e-01    1.27e-01      7.72e-04    7.55e-04      2.73e-02    2.38e-02    2.8e-05
  38000      1.66e-01    1.36e-01      2.92e-03    4.81e-04      3.10e-02    2.54e-02    2.8e-05
  39000      1.66e-01    1.38e-01      8.80e-04    6.64e-04      3.11e-02    2.58e-02    2.8e-05
  40000      1.70e-01    1.49e-01      1.28e-03    5.79e-04      3.17e-02    2.78e-02    2.8e-05
  41000      7.83e-02    1.11e-01      4.99e-04    5.59e-04      1.87e-02    2.64e-02    1.7e-05
  42000      1.40e-01    1.23e-01      9.87e-04    1.30e-03      3.36e-02    2.93e-02    1.7e-05
  43000      1.12e-01    1.11e-01      1.39e-03    1.13e-03      2.67e-02    2.64e-02    1.7e-05
