ID,Frame,MaxFDev_eV_A,AvgFDev_eV_A,RMSD_A,Timestamp
1,301,0.1043,0.0563,0.3640,2026-04-18 06:25:06
2,321,0.1012,0.0553,0.1288,2026-04-18 06:25:06
