# step       rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn   lr      
# If there is no available reference data, rmse_*_{val,trn} will print nan
  58000      5.04e-02    6.02e-02      9.59e-04    3.88e-04      2.36e-02    2.82e-02    3.5e-06
  59000      7.73e-02    5.14e-02      1.18e-03    5.96e-04      3.62e-02    2.41e-02    3.5e-06
  60000      6.61e-02    6.27e-02      6.19e-04    5.89e-04      3.10e-02    2.94e-02    3.5e-06
  61000      5.71e-02    3.51e-02      7.76e-04    4.03e-04      3.23e-02    1.99e-02    2.1e-06
  62000      4.14e-02    4.77e-02      5.25e-04    1.22e-03      2.34e-02    2.69e-02    2.1e-06
  63000      5.50e-02    4.55e-02      5.29e-04    6.21e-04      3.11e-02    2.57e-02    2.1e-06
  64000      5.86e-02    4.31e-02      2.16e-03    7.69e-04      3.30e-02    2.44e-02    2.1e-06
  65000      7.24e-02    4.77e-02      2.63e-03    1.53e-03      4.07e-02    2.69e-02    2.1e-06
  66000      4.97e-02    2.97e-02      4.10e-04    9.00e-04      3.30e-02    1.96e-02    1.3e-06
  67000      3.50e-02    3.44e-02      6.07e-04    7.05e-04      2.32e-02    2.28e-02    1.3e-06
  68000      4.33e-02    3.55e-02      5.74e-04    7.50e-04      2.87e-02    2.35e-02    1.3e-06
  69000      4.62e-02    3.87e-02      9.57e-04    9.73e-04      3.06e-02    2.56e-02    1.3e-06
  70000      4.05e-02    3.74e-02      4.33e-04    7.62e-04      2.69e-02    2.48e-02    1.3e-06
  71000      3.22e-02    4.03e-02      4.53e-04    9.29e-04      2.42e-02    3.03e-02    7.6e-07
  72000      4.03e-02    3.19e-02      5.95e-04    4.21e-04      3.04e-02    2.40e-02    7.6e-07
  73000      4.62e-02    3.15e-02      6.58e-04    4.92e-04      3.48e-02    2.37e-02    7.6e-07
  74000      4.54e-02    3.84e-02      6.91e-04    7.81e-04      3.42e-02    2.89e-02    7.6e-07
  75000      3.79e-02    2.95e-02      1.06e-03    7.54e-04      2.85e-02    2.21e-02    7.6e-07
