# step       rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn   lr      
# If there is no available reference data, rmse_*_{val,trn} will print nan
      1      6.69e+01    4.63e+01      1.55e-01    1.19e+00      2.12e+00    1.46e+00    1.0e-03
   1000      7.85e+00    7.66e+00      5.48e-01    5.88e-01      2.48e-01    2.42e-01    1.0e-03
   2000      4.00e+00    3.63e+00      1.83e-02    5.80e-03      1.27e-01    1.15e-01    1.0e-03
   3000      3.87e+00    2.82e+00      4.20e-02    4.49e-02      1.22e-01    8.92e-02    1.0e-03
   4000      4.48e+00    2.67e+00      5.62e-02    6.22e-02      1.42e-01    8.43e-02    1.0e-03
   5000      2.98e+00    3.93e+00      1.86e-02    1.74e-02      9.44e-02    1.24e-01    1.0e-03
   6000      2.07e+00    1.58e+00      1.48e-02    2.42e-02      8.44e-02    6.44e-02    6.0e-04
   7000      1.56e+00    1.73e+00      8.36e-03    1.42e-02      6.36e-02    7.07e-02    6.0e-04
   8000      2.11e+00    2.01e+00      9.89e-03    3.96e-03      8.61e-02    8.23e-02    6.0e-04
   9000      1.63e+00    1.58e+00      2.31e-02    1.66e-02      6.67e-02    6.44e-02    6.0e-04
  10000      1.64e+00    1.31e+00      2.78e-02    2.23e-02      6.70e-02    5.33e-02    6.0e-04
  11000      8.21e-01    9.04e-01      1.83e-03    5.34e-03      4.33e-02    4.77e-02    3.6e-04
  12000      1.01e+00    1.01e+00      5.18e-03    9.19e-03      5.32e-02    5.33e-02    3.6e-04
  13000      1.43e+00    1.01e+00      2.08e-02    1.46e-02      7.53e-02    5.33e-02    3.6e-04
  14000      8.19e-01    9.61e-01      5.14e-03    5.86e-03      4.32e-02    5.07e-02    3.6e-04
  15000      1.80e+00    1.51e+00      2.16e-02    2.13e-02      9.51e-02    7.97e-02    3.6e-04
  16000      7.23e-01    6.43e-01      5.42e-03    2.22e-03      4.92e-02    4.38e-02    2.1e-04
  17000      7.54e-01    6.74e-01      2.42e-03    4.08e-03      5.14e-02    4.59e-02    2.1e-04
  18000      6.70e-01    6.69e-01      2.46e-03    2.45e-03      4.56e-02    4.56e-02    2.1e-04
  19000      6.72e-01    5.24e-01      6.15e-03    7.41e-03      4.58e-02    3.57e-02    2.1e-04
  20000      7.44e-01    6.55e-01      8.15e-03    4.93e-03      5.06e-02    4.46e-02    2.1e-04
  21000      5.17e-01    4.86e-01      2.19e-03    1.46e-03      4.54e-02    4.27e-02    1.3e-04
  22000      4.78e-01    4.54e-01      2.30e-03    2.56e-03      4.20e-02    3.99e-02    1.3e-04
  23000      4.01e-01    3.19e-01      9.89e-04    2.30e-03      3.52e-02    2.80e-02    1.3e-04
  24000      4.72e-01    5.05e-01      7.70e-03    5.13e-03      4.15e-02    4.43e-02    1.3e-04
  25000      3.74e-01    2.94e-01      4.20e-03    5.69e-03      3.28e-02    2.58e-02    1.3e-04
  26000      3.61e-01    2.59e-01      3.79e-03    4.50e-03      4.09e-02    2.93e-02    7.7e-05
  27000      3.98e-01    3.07e-01      1.19e-03    8.16e-04      4.51e-02    3.48e-02    7.7e-05
  28000      2.91e-01    3.48e-01      3.54e-03    6.30e-03      3.30e-02    3.93e-02    7.7e-05
  29000      3.42e-01    2.36e-01      1.63e-03    1.05e-03      3.87e-02    2.67e-02    7.7e-05
  30000      3.00e-01    3.25e-01      2.03e-03    2.83e-04      3.40e-02    3.69e-02    7.7e-05
  31000      2.55e-01    1.77e-01      9.46e-04    2.09e-03      3.71e-02    2.58e-02    4.6e-05
  32000      2.71e-01    2.09e-01      8.52e-04    8.23e-04      3.94e-02    3.05e-02    4.6e-05
  33000      3.16e-01    2.60e-01      3.22e-03    1.39e-03      4.61e-02    3.79e-02    4.6e-05
  34000      2.40e-01    2.15e-01      4.47e-04    1.04e-03      3.50e-02    3.13e-02    4.6e-05
  35000      1.97e-01    2.92e-01      6.41e-04    2.12e-03      2.88e-02    4.25e-02    4.6e-05
  36000      1.33e-01    1.63e-01      4.58e-04    5.37e-04      2.49e-02    3.06e-02    2.8e-05
  37000      1.83e-01    1.33e-01      3.73e-04    5.51e-04      3.42e-02    2.48e-02    2.8e-05
  38000      2.29e-01    1.58e-01      1.49e-03    2.11e-03      4.28e-02    2.95e-02    2.8e-05
  39000      1.65e-01    1.91e-01      1.59e-03    1.71e-03      3.08e-02    3.58e-02    2.8e-05
  40000      2.14e-01    1.25e-01      1.68e-03    6.74e-04      4.00e-02    2.34e-02    2.8e-05
  41000      1.28e-01    1.06e-01      1.87e-03    1.24e-03      3.06e-02    2.54e-02    1.7e-05
  42000      1.15e-01    1.11e-01      4.26e-03    2.74e-03      2.74e-02    2.64e-02    1.7e-05
  43000      1.12e-01    7.44e-02      2.12e-03    1.17e-03      2.66e-02    1.78e-02    1.7e-05
  44000      1.65e-01    9.71e-02      2.60e-03    1.86e-03      3.95e-02    2.32e-02    1.7e-05
  45000      9.54e-02    1.19e-01      2.23e-03    2.64e-03      2.28e-02    2.84e-02    1.7e-05
  46000      1.33e-01    7.16e-02      1.63e-03    3.81e-04      4.04e-02    2.17e-02    9.9e-06
  47000      1.47e-01    8.03e-02      9.19e-04    5.78e-04      4.46e-02    2.43e-02    9.9e-06
  48000      9.08e-02    7.57e-02      1.59e-03    1.09e-03      2.75e-02    2.29e-02    9.9e-06
  49000      8.52e-02    6.76e-02      8.16e-04    1.20e-03      2.58e-02    2.05e-02    9.9e-06
  50000      1.09e-01    8.97e-02      1.01e-03    1.41e-03      3.31e-02    2.71e-02    9.9e-06
  51000      7.89e-02    6.58e-02      6.21e-04    6.28e-04      3.00e-02    2.50e-02    5.9e-06
  52000      5.46e-02    9.22e-02      1.45e-04    1.29e-03      2.07e-02    3.50e-02    5.9e-06
  53000      1.05e-01    7.20e-02      6.14e-04    7.42e-04      3.98e-02    2.74e-02    5.9e-06
  54000      4.95e-02    4.72e-02      3.28e-04    6.66e-04      1.88e-02    1.79e-02    5.9e-06
  55000      8.87e-02    6.06e-02      2.33e-04    7.40e-04      3.37e-02    2.30e-02    5.9e-06
  56000      6.28e-02    3.76e-02      1.55e-03    5.06e-04      2.94e-02    1.76e-02    3.5e-06
  57000      8.10e-02    7.04e-02      2.12e-03    4.43e-04      3.79e-02    3.30e-02    3.5e-06
  58000      7.68e-02    6.15e-02      8.70e-04    7.76e-04      3.60e-02    2.88e-02    3.5e-06
  59000      7.56e-02    4.21e-02      7.66e-04    3.88e-04      3.55e-02    1.98e-02    3.5e-06
  60000      8.78e-02    4.71e-02      3.94e-04    5.27e-04      4.12e-02    2.21e-02    3.5e-06
  61000      6.23e-02    3.98e-02      7.61e-04    8.15e-04      3.53e-02    2.25e-02    2.1e-06
  62000      6.42e-02    5.99e-02      1.17e-03    1.20e-03      3.63e-02    3.38e-02    2.1e-06
  63000      6.17e-02    4.34e-02      4.10e-04    8.38e-04      3.49e-02    2.45e-02    2.1e-06
  64000      3.74e-02    5.54e-02      5.96e-04    1.12e-03      2.11e-02    3.13e-02    2.1e-06
  65000      4.01e-02    4.51e-02      5.36e-04    1.54e-03      2.27e-02    2.54e-02    2.1e-06
  66000      5.74e-02    4.04e-02      1.11e-03    7.94e-04      3.80e-02    2.67e-02    1.3e-06
  67000      3.81e-02    3.13e-02      3.90e-04    5.34e-04      2.53e-02    2.07e-02    1.3e-06
  68000      5.71e-02    3.54e-02      1.07e-03    5.44e-04      3.79e-02    2.35e-02    1.3e-06
  69000      4.23e-02    3.96e-02      9.72e-04    6.06e-04      2.80e-02    2.63e-02    1.3e-06
  70000      4.57e-02    4.74e-02      9.25e-04    9.59e-04      3.03e-02    3.14e-02    1.3e-06
  71000      3.79e-02    4.64e-02      9.99e-04    4.31e-04      2.85e-02    3.49e-02    7.6e-07
  72000      4.29e-02    3.33e-02      4.92e-04    5.43e-04      3.23e-02    2.50e-02    7.6e-07
  73000      4.08e-02    2.88e-02      7.14e-04    8.00e-04      3.07e-02    2.16e-02    7.6e-07
  74000      3.30e-02    3.88e-02      3.16e-04    8.97e-04      2.49e-02    2.92e-02    7.6e-07
  75000      4.57e-02    3.70e-02      1.61e-03    1.09e-03      3.43e-02    2.78e-02    7.6e-07
  76000      3.31e-02    3.75e-02      3.39e-04    5.44e-04      2.75e-02    3.11e-02    4.6e-07
  77000      3.70e-02    4.24e-02      3.40e-04    8.24e-04      3.07e-02    3.51e-02    4.6e-07
  78000      2.89e-02    3.95e-02      4.75e-04    1.40e-03      2.39e-02    3.26e-02    4.6e-07
  79000      3.92e-02    3.45e-02      1.03e-03    1.31e-03      3.24e-02    2.85e-02    4.6e-07
  80000      3.69e-02    3.71e-02      6.93e-04    8.08e-04      3.05e-02    3.07e-02    4.6e-07
  81000      3.45e-02    2.34e-02      1.23e-03    8.11e-04      3.05e-02    2.07e-02    2.7e-07
  82000      3.59e-02    2.85e-02      3.80e-04    5.03e-04      3.18e-02    2.52e-02    2.7e-07
  83000      3.54e-02    3.98e-02      1.13e-03    1.39e-03      3.12e-02    3.51e-02    2.7e-07
  84000      3.88e-02    1.91e-02      1.44e-03    4.28e-04      3.42e-02    1.69e-02    2.7e-07
  85000      2.87e-02    3.08e-02      4.46e-04    6.33e-04      2.54e-02    2.73e-02    2.7e-07
  86000      3.93e-02    2.60e-02      2.66e-04    4.27e-04      3.64e-02    2.40e-02    1.6e-07
  87000      3.29e-02    3.28e-02      2.75e-04    3.23e-04      3.05e-02    3.04e-02    1.6e-07
  88000      3.67e-02    2.46e-02      4.90e-04    3.78e-04      3.40e-02    2.27e-02    1.6e-07
  89000      3.36e-02    2.87e-02      7.57e-04    5.18e-04      3.11e-02    2.66e-02    1.6e-07
  90000      2.41e-02    3.10e-02      1.81e-04    1.15e-03      2.23e-02    2.86e-02    1.6e-07
  91000      2.07e-02    2.70e-02      2.56e-04    5.92e-04      1.98e-02    2.57e-02    9.8e-08
  92000      3.62e-02    3.52e-02      4.24e-04    8.77e-04      3.45e-02    3.35e-02    9.8e-08
  93000      2.36e-02    2.66e-02      5.45e-04    5.97e-04      2.24e-02    2.53e-02    9.8e-08
  94000      4.03e-02    2.14e-02      1.74e-03    5.11e-04      3.82e-02    2.04e-02    9.8e-08
  95000      3.62e-02    2.38e-02      8.31e-04    3.56e-04      3.45e-02    2.27e-02    9.8e-08
  96000      2.41e-02    2.67e-02      4.20e-04    7.78e-04      2.34e-02    2.58e-02    5.9e-08
  97000      3.94e-02    3.36e-02      6.62e-04    8.04e-04      3.82e-02    3.26e-02    5.9e-08
  98000      3.32e-02    2.77e-02      3.54e-04    7.74e-04      3.23e-02    2.69e-02    5.9e-08
  99000      2.56e-02    2.66e-02      3.46e-04    5.92e-04      2.48e-02    2.58e-02    5.9e-08
 100000      2.95e-02    3.06e-02      5.56e-04    4.96e-04      2.86e-02    2.97e-02    5.9e-08
