ID,Frame,MaxFDev_eV_A,AvgFDev_eV_A,RMSD_A,Timestamp
1,2,0.1213,0.0569,0.3501,2026-04-18 04:04:09
2,25,0.1901,0.0946,0.1524,2026-04-18 04:04:09
3,272,0.1753,0.1083,0.0943,2026-04-18 04:04:09
4,493,0.1336,0.0541,0.0674,2026-04-18 04:04:09
