# RMSD Filtering Log
# Generated: 2026-04-18 04:04:09
# RMSD Threshold: 0.050 Å
# Exclude Hydrogen: True
#
# Status   Serial   Frame    MaxFDev      MinRMSD      Action         
#================================================================================
ACCEPT         1       2      0.1213       0.350  Selected
ACCEPT         2      25      0.1901       0.152  Selected
SKIP         ---      44      0.1101       0.042  RMSD < 0.050
SKIP         ---      70      0.1488       0.036  RMSD < 0.050
SKIP         ---     141      0.1803       0.036  RMSD < 0.050
SKIP         ---     160      0.2143       0.016  RMSD < 0.050
ACCEPT         3     272      0.1753       0.094  Selected
SKIP         ---     276      0.1255       0.001  RMSD < 0.050
SKIP         ---     279      0.1062       0.007  RMSD < 0.050
SKIP         ---     281      0.1160       0.035  RMSD < 0.050
SKIP         ---     300      0.1876       0.008  RMSD < 0.050
SKIP         ---     342      0.1504       0.038  RMSD < 0.050
SKIP         ---     409      0.1181       0.041  RMSD < 0.050
SKIP         ---     467      0.1066       0.014  RMSD < 0.050
ACCEPT         4     493      0.1336       0.067  Selected
