# step       rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn   lr      
# If there is no available reference data, rmse_*_{val,trn} will print nan
      1      6.59e+01    3.45e+01      2.70e-01    7.60e-01      2.08e+00    1.09e+00    1.0e-03
   1000      6.75e+00    8.44e+00      4.68e-01    3.92e-01      2.13e-01    2.67e-01    1.0e-03
   2000      4.17e+00    5.77e+00      2.83e-02    6.39e-02      1.32e-01    1.82e-01    1.0e-03
   3000      4.19e+00    4.00e+00      2.24e-02    3.33e-02      1.33e-01    1.27e-01    1.0e-03
   4000      3.06e+00    2.57e+00      4.31e-02    5.18e-02      9.67e-02    8.12e-02    1.0e-03
   5000      2.92e+00    2.50e+00      3.79e-02    2.69e-02      9.22e-02    7.91e-02    1.0e-03
   6000      1.73e+00    1.50e+00      9.00e-03    9.62e-03      7.05e-02    6.12e-02    6.0e-04
   7000      1.70e+00    1.29e+00      2.46e-02    2.45e-02      6.95e-02    5.27e-02    6.0e-04
   8000      1.42e+00    1.58e+00      1.63e-02    1.16e-02      5.80e-02    6.47e-02    6.0e-04
   9000      1.60e+00    1.25e+00      6.57e-03    3.67e-03      6.54e-02    5.12e-02    6.0e-04
  10000      1.46e+00    1.29e+00      3.74e-03    3.92e-03      5.95e-02    5.28e-02    6.0e-04
  11000      9.40e-01    8.91e-01      3.07e-03    3.43e-03      4.96e-02    4.70e-02    3.6e-04
  12000      9.58e-01    9.28e-01      4.96e-03    6.41e-03      5.06e-02    4.90e-02    3.6e-04
  13000      8.74e-01    9.03e-01      9.30e-03    1.06e-02      4.61e-02    4.76e-02    3.6e-04
  14000      9.55e-01    7.25e-01      8.68e-03    1.22e-02      5.04e-02    3.82e-02    3.6e-04
  15000      9.41e-01    7.40e-01      6.32e-03    8.79e-03      4.97e-02    3.90e-02    3.6e-04
  16000      5.42e-01    5.94e-01      1.55e-03    2.59e-03      3.69e-02    4.05e-02    2.1e-04
  17000      8.50e-01    6.79e-01      2.18e-03    2.81e-03      5.79e-02    4.63e-02    2.1e-04
  18000      6.49e-01    6.03e-01      9.61e-04    3.28e-03      4.42e-02    4.11e-02    2.1e-04
  19000      6.81e-01    5.03e-01      1.02e-02    5.57e-03      4.63e-02    3.43e-02    2.1e-04
  20000      5.57e-01    6.04e-01      1.47e-02    1.50e-02      3.79e-02    4.11e-02    2.1e-04
  21000      5.35e-01    3.47e-01      2.13e-03    7.05e-04      4.70e-02    3.05e-02    1.3e-04
  22000      3.78e-01    3.95e-01      2.98e-03    2.84e-03      3.32e-02    3.47e-02    1.3e-04
  23000      3.16e-01    4.42e-01      1.72e-03    2.72e-03      2.78e-02    3.89e-02    1.3e-04
  24000      4.41e-01    4.23e-01      4.20e-03    2.68e-03      3.87e-02    3.72e-02    1.3e-04
  25000      3.59e-01    4.23e-01      1.18e-03    7.26e-04      3.16e-02    3.72e-02    1.3e-04
  26000      2.29e-01    1.63e-01      2.51e-03    2.95e-03      2.60e-02    1.85e-02    7.7e-05
  27000      3.91e-01    2.34e-01      1.25e-03    1.34e-03      4.44e-02    2.65e-02    7.7e-05
  28000      3.03e-01    2.16e-01      1.58e-03    9.05e-04      3.43e-02    2.45e-02    7.7e-05
  29000      3.24e-01    2.98e-01      1.73e-03    1.24e-03      3.67e-02    3.38e-02    7.7e-05
  30000      3.03e-01    3.66e-01      3.37e-03    3.29e-03      3.43e-02    4.15e-02    7.7e-05
  31000      2.62e-01    2.03e-01      1.70e-03    2.53e-03      3.81e-02    2.96e-02    4.6e-05
  32000      2.85e-01    1.63e-01      1.79e-03    3.80e-03      4.15e-02    2.37e-02    4.6e-05
  33000      1.74e-01    1.82e-01      4.05e-04    9.53e-04      2.54e-02    2.65e-02    4.6e-05
  34000      2.22e-01    1.99e-01      4.16e-04    2.34e-03      3.24e-02    2.91e-02    4.6e-05
  35000      1.97e-01    1.67e-01      4.08e-03    3.89e-03      2.87e-02    2.43e-02    4.6e-05
  36000      2.06e-01    1.23e-01      8.91e-04    1.13e-03      3.86e-02    2.30e-02    2.8e-05
  37000      1.59e-01    1.42e-01      9.30e-04    4.19e-04      2.97e-02    2.66e-02    2.8e-05
  38000      1.62e-01    1.36e-01      3.58e-03    2.49e-03      3.02e-02    2.53e-02    2.8e-05
  39000      2.21e-01    1.37e-01      1.86e-03    1.38e-03      4.13e-02    2.57e-02    2.8e-05
