# RMSD Filtering Log
# Generated: 2026-04-17 19:21:47
# RMSD Threshold: 0.050 Å
# Exclude Hydrogen: True
#
# Status   Serial   Frame    MaxFDev      MinRMSD      Action         
#================================================================================
ACCEPT         1       1      0.1831       0.333  Selected
SKIP         ---       4      0.1787       0.017  RMSD < 0.050
ACCEPT         2       5      0.1074       0.055  Selected
SKIP         ---       9      0.1307       0.045  RMSD < 0.050
ACCEPT         3      24      0.1370       0.056  Selected
SKIP         ---      62      0.1206       0.011  RMSD < 0.050
ACCEPT         4     104      0.1326       0.051  Selected
SKIP         ---     191      0.1332       0.006  RMSD < 0.050
SKIP         ---     192      0.1094       0.002  RMSD < 0.050
SKIP         ---     196      0.1540       0.003  RMSD < 0.050
SKIP         ---     213      0.2004       0.008  RMSD < 0.050
SKIP         ---     242      0.1215       0.013  RMSD < 0.050
SKIP         ---     252      0.1458       0.010  RMSD < 0.050
SKIP         ---     255      0.2176       0.016  RMSD < 0.050
SKIP         ---     276      0.1937       0.000  RMSD < 0.050
SKIP         ---     291      0.2036       0.000  RMSD < 0.050
SKIP         ---     292      0.1258       0.022  RMSD < 0.050
SKIP         ---     297      0.1674       0.021  RMSD < 0.050
SKIP         ---     300      0.1755       0.026  RMSD < 0.050
SKIP         ---     311      0.2024       0.005  RMSD < 0.050
SKIP         ---     316      0.1190       0.012  RMSD < 0.050
SKIP         ---     317      0.1363       0.017  RMSD < 0.050
SKIP         ---     333      0.3079       0.004  RMSD < 0.050
SKIP         ---     338      0.2703       0.012  RMSD < 0.050
SKIP         ---     339      0.1103       0.009  RMSD < 0.050
SKIP         ---     342      0.1551       0.026  RMSD < 0.050
SKIP         ---     343      0.3128       0.008  RMSD < 0.050
SKIP         ---     347      0.2058       0.026  RMSD < 0.050
SKIP         ---     363      0.1254       0.018  RMSD < 0.050
SKIP         ---     384      0.1113       0.004  RMSD < 0.050
SKIP         ---     389      0.1583       0.024  RMSD < 0.050
SKIP         ---     393      0.2653       0.005  RMSD < 0.050
SKIP         ---     432      0.1092       0.007  RMSD < 0.050
SKIP         ---     437      0.1053       0.007  RMSD < 0.050
