ID,Frame,MaxFDev_eV_A,AvgFDev_eV_A,RMSD_A,Timestamp
1,1,0.1831,0.0836,0.3334,2026-04-17 19:21:47
2,5,0.1074,0.0455,0.0550,2026-04-17 19:21:47
3,24,0.1370,0.0602,0.0565,2026-04-17 19:21:47
4,104,0.1326,0.0572,0.0511,2026-04-17 19:21:47
