# step       rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn   lr      
# If there is no available reference data, rmse_*_{val,trn} will print nan
      1      9.55e+01    4.09e+01      2.13e+00    4.17e-01      3.02e+00    1.29e+00    1.0e-03
   1000      6.44e+00    6.92e+00      6.74e-01    6.12e-01      2.04e-01    2.19e-01    1.0e-03
   2000      5.41e+00    4.93e+00      1.58e-01    1.29e-01      1.71e-01    1.56e-01    1.0e-03
   3000      3.45e+00    3.90e+00      3.21e-02    3.57e-02      1.09e-01    1.23e-01    1.0e-03
   4000      3.27e+00    3.30e+00      2.69e-02    2.84e-02      1.03e-01    1.04e-01    1.0e-03
   5000      2.61e+00    3.11e+00      6.06e-03    3.44e-03      8.26e-02    9.85e-02    1.0e-03
   6000      1.68e+00    1.61e+00      1.59e-02    1.09e-02      6.85e-02    6.57e-02    6.0e-04
   7000      2.34e+00    1.99e+00      3.00e-02    2.01e-02      9.57e-02    8.15e-02    6.0e-04
   8000      1.95e+00    1.33e+00      3.42e-03    6.69e-03      7.95e-02    5.45e-02    6.0e-04
   9000      1.51e+00    1.33e+00      1.29e-02    1.76e-02      6.16e-02    5.42e-02    6.0e-04
  10000      2.45e+00    1.67e+00      3.30e-03    7.52e-03      1.00e-01    6.83e-02    6.0e-04
  11000      8.89e-01    1.00e+00      4.67e-03    1.71e-03      4.69e-02    5.27e-02    3.6e-04
  12000      1.07e+00    1.20e+00      8.32e-03    1.17e-02      5.64e-02    6.34e-02    3.6e-04
  13000      9.64e-01    8.64e-01      2.78e-02    2.45e-02      5.08e-02    4.55e-02    3.6e-04
  14000      9.08e-01    1.16e+00      1.75e-02    1.29e-02      4.78e-02    6.14e-02    3.6e-04
  15000      1.69e+00    1.04e+00      1.22e-02    4.65e-03      8.94e-02    5.46e-02    3.6e-04
  16000      6.35e-01    6.57e-01      1.13e-03    4.15e-03      4.33e-02    4.48e-02    2.1e-04
  17000      5.42e-01    4.61e-01      2.10e-03    2.27e-03      3.70e-02    3.14e-02    2.1e-04
  18000      8.45e-01    7.05e-01      2.83e-03    1.40e-03      5.76e-02    4.80e-02    2.1e-04
  19000      6.89e-01    4.69e-01      5.92e-03    4.39e-03      4.69e-02    3.19e-02    2.1e-04
  20000      7.14e-01    5.61e-01      2.48e-03    6.16e-03      4.87e-02    3.82e-02    2.1e-04
  21000      4.34e-01    3.80e-01      5.51e-03    9.81e-03      3.81e-02    3.33e-02    1.3e-04
  22000      4.22e-01    3.07e-01      4.45e-03    7.97e-03      3.71e-02    2.69e-02    1.3e-04
  23000      5.46e-01    4.16e-01      1.01e-02    7.67e-03      4.80e-02    3.65e-02    1.3e-04
  24000      4.69e-01    4.34e-01      3.53e-03    2.88e-03      4.12e-02    3.82e-02    1.3e-04
  25000      4.82e-01    3.76e-01      3.78e-03    1.98e-03      4.24e-02    3.30e-02    1.3e-04
  26000      2.85e-01    5.36e-01      2.75e-03    9.13e-03      3.23e-02    6.07e-02    7.7e-05
  27000      2.59e-01    2.85e-01      5.39e-03    6.07e-03      2.92e-02    3.22e-02    7.7e-05
  28000      3.27e-01    2.81e-01      1.35e-02    1.23e-02      3.68e-02    3.16e-02    7.7e-05
  29000      2.69e-01    2.83e-01      4.15e-03    2.50e-03      3.04e-02    3.20e-02    7.7e-05
  30000      2.81e-01    3.07e-01      9.02e-04    1.36e-03      3.19e-02    3.48e-02    7.7e-05
  31000      1.88e-01    2.66e-01      3.89e-04    2.95e-03      2.74e-02    3.87e-02    4.6e-05
  32000      1.97e-01    1.70e-01      3.83e-03    2.93e-03      2.87e-02    2.47e-02    4.6e-05
  33000      1.89e-01    1.54e-01      2.87e-03    3.08e-03      2.75e-02    2.24e-02    4.6e-05
  34000      2.17e-01    2.44e-01      9.79e-04    1.59e-03      3.17e-02    3.55e-02    4.6e-05
  35000      2.61e-01    1.80e-01      3.71e-04    1.01e-03      3.81e-02    2.63e-02    4.6e-05
  36000      1.33e-01    1.28e-01      1.88e-03    2.32e-03      2.49e-02    2.40e-02    2.8e-05
  37000      1.61e-01    1.84e-01      2.54e-03    1.47e-03      3.01e-02    3.44e-02    2.8e-05
  38000      1.61e-01    1.50e-01      1.92e-03    1.88e-03      3.01e-02    2.81e-02    2.8e-05
  39000      1.58e-01    1.21e-01      4.76e-04    7.58e-04      2.95e-02    2.26e-02    2.8e-05
  40000      1.93e-01    1.15e-01      2.82e-03    2.77e-03      3.61e-02    2.15e-02    2.8e-05
  41000      1.62e-01    1.51e-01      3.12e-03    2.37e-03      3.87e-02    3.61e-02    1.7e-05
  42000      1.33e-01    1.11e-01      1.87e-03    4.29e-04      3.17e-02    2.64e-02    1.7e-05
  43000      1.47e-01    1.20e-01      3.81e-04    1.19e-03      3.52e-02    2.86e-02    1.7e-05
  44000      1.27e-01    8.58e-02      1.77e-03    5.96e-04      3.03e-02    2.05e-02    1.7e-05
  45000      9.61e-02    1.10e-01      2.25e-03    2.95e-03      2.29e-02    2.63e-02    1.7e-05
  46000      9.96e-02    1.00e-01      5.59e-04    5.66e-04      3.02e-02    3.04e-02    9.9e-06
  47000      7.82e-02    9.26e-02      6.62e-04    9.72e-04      2.37e-02    2.80e-02    9.9e-06
  48000      1.29e-01    7.23e-02      2.79e-03    2.61e-03      3.89e-02    2.18e-02    9.9e-06
  49000      1.17e-01    8.74e-02      1.47e-03    1.14e-03      3.53e-02    2.65e-02    9.9e-06
  50000      1.08e-01    7.18e-02      2.06e-03    1.73e-03      3.28e-02    2.17e-02    9.9e-06
  51000      6.26e-02    5.05e-02      9.63e-04    6.74e-04      2.38e-02    1.92e-02    5.9e-06
  52000      9.30e-02    4.54e-02      6.03e-04    7.06e-04      3.54e-02    1.72e-02    5.9e-06
  53000      7.92e-02    7.62e-02      6.10e-04    4.33e-04      3.01e-02    2.90e-02    5.9e-06
  54000      7.47e-02    6.18e-02      8.48e-04    8.14e-04      2.84e-02    2.35e-02    5.9e-06
  55000      5.82e-02    8.02e-02      9.05e-04    1.70e-03      2.21e-02    3.04e-02    5.9e-06
  56000      6.39e-02    6.17e-02      1.86e-04    5.54e-04      3.00e-02    2.89e-02    3.5e-06
  57000      7.48e-02    6.00e-02      7.21e-04    8.55e-04      3.51e-02    2.81e-02    3.5e-06
  58000      5.83e-02    6.52e-02      9.01e-04    1.17e-03      2.73e-02    3.05e-02    3.5e-06
  59000      3.93e-02    6.78e-02      3.85e-04    7.50e-04      1.84e-02    3.18e-02    3.5e-06
  60000      5.88e-02    5.29e-02      6.88e-04    6.09e-04      2.75e-02    2.48e-02    3.5e-06
  61000      4.49e-02    4.44e-02      4.45e-04    3.66e-04      2.54e-02    2.51e-02    2.1e-06
  62000      4.03e-02    4.54e-02      7.99e-04    9.47e-04      2.28e-02    2.56e-02    2.1e-06
  63000      4.95e-02    5.06e-02      8.79e-04    9.29e-04      2.80e-02    2.86e-02    2.1e-06
  64000      6.10e-02    4.86e-02      1.13e-03    6.24e-04      3.45e-02    2.75e-02    2.1e-06
  65000      5.01e-02    4.96e-02      4.08e-04    7.52e-04      2.84e-02    2.81e-02    2.1e-06
  66000      5.00e-02    4.12e-02      2.58e-04    6.79e-04      3.32e-02    2.73e-02    1.3e-06
  67000      3.34e-02    4.43e-02      5.92e-04    9.85e-04      2.22e-02    2.94e-02    1.3e-06
  68000      4.36e-02    3.70e-02      4.62e-04    3.03e-04      2.89e-02    2.46e-02    1.3e-06
  69000      3.80e-02    3.41e-02      4.21e-04    7.65e-04      2.52e-02    2.26e-02    1.3e-06
  70000      3.48e-02    3.37e-02      3.24e-04    4.57e-04      2.31e-02    2.23e-02    1.3e-06
  71000      3.30e-02    2.96e-02      3.09e-04    3.51e-04      2.49e-02    2.23e-02    7.6e-07
  72000      2.94e-02    3.37e-02      3.97e-04    3.94e-04      2.21e-02    2.54e-02    7.6e-07
  73000      3.12e-02    3.44e-02      3.36e-04    7.62e-04      2.35e-02    2.59e-02    7.6e-07
  74000      5.48e-02    3.41e-02      7.61e-04    4.01e-04      4.12e-02    2.57e-02    7.6e-07
  75000      3.75e-02    2.77e-02      6.35e-04    6.41e-04      2.82e-02    2.08e-02    7.6e-07
  76000      2.45e-02    4.05e-02      3.40e-04    7.28e-04      2.03e-02    3.35e-02    4.6e-07
  77000      4.05e-02    2.83e-02      2.34e-04    4.50e-04      3.36e-02    2.34e-02    4.6e-07
  78000      2.78e-02    4.43e-02      3.03e-04    8.69e-04      2.30e-02    3.67e-02    4.6e-07
  79000      3.68e-02    3.43e-02      3.12e-04    4.28e-04      3.05e-02    2.84e-02    4.6e-07
  80000      2.71e-02    2.96e-02      3.16e-04    5.89e-04      2.25e-02    2.45e-02    4.6e-07
  81000      2.86e-02    2.32e-02      5.29e-04    4.39e-04      2.53e-02    2.05e-02    2.7e-07
  82000      4.21e-02    2.60e-02      4.65e-04    4.48e-04      3.73e-02    2.30e-02    2.7e-07
  83000      4.50e-02    3.34e-02      8.19e-04    5.36e-04      3.99e-02    2.95e-02    2.7e-07
  84000      3.60e-02    3.69e-02      8.29e-04    5.03e-04      3.18e-02    3.27e-02    2.7e-07
  85000      4.14e-02    3.30e-02      2.56e-04    7.94e-04      3.67e-02    2.92e-02    2.7e-07
  86000      3.52e-02    3.32e-02      4.01e-04    6.89e-04      3.26e-02    3.07e-02    1.6e-07
  87000      2.87e-02    3.06e-02      2.48e-04    7.39e-04      2.66e-02    2.83e-02    1.6e-07
  88000      4.26e-02    2.77e-02      3.31e-04    6.05e-04      3.95e-02    2.57e-02    1.6e-07
  89000      2.99e-02    2.85e-02      8.18e-04    3.18e-04      2.77e-02    2.64e-02    1.6e-07
  90000      2.74e-02    1.85e-02      7.73e-04    5.21e-04      2.53e-02    1.71e-02    1.6e-07
  91000      3.03e-02    3.12e-02      5.05e-04    6.61e-04      2.89e-02    2.97e-02    9.8e-08
  92000      2.14e-02    2.48e-02      3.63e-04    4.41e-04      2.04e-02    2.37e-02    9.8e-08
  93000      3.01e-02    3.44e-02      7.17e-04    9.05e-04      2.86e-02    3.27e-02    9.8e-08
  94000      2.99e-02    2.80e-02      1.02e-03    5.29e-04      2.84e-02    2.66e-02    9.8e-08
  95000      2.76e-02    2.10e-02      4.22e-04    4.35e-04      2.64e-02    2.00e-02    9.8e-08
  96000      2.49e-02    2.39e-02      4.72e-04    5.22e-04      2.41e-02    2.32e-02    5.9e-08
  97000      3.23e-02    2.14e-02      3.70e-04    3.12e-04      3.14e-02    2.08e-02    5.9e-08
  98000      2.56e-02    2.30e-02      4.96e-04    3.39e-04      2.48e-02    2.24e-02    5.9e-08
  99000      3.77e-02    3.60e-02      5.67e-04    5.64e-04      3.66e-02    3.50e-02    5.9e-08
 100000      3.52e-02    3.17e-02      2.91e-04    4.35e-04      3.42e-02    3.08e-02    5.9e-08
