# step       rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn   lr      
# If there is no available reference data, rmse_*_{val,trn} will print nan
      1      5.84e+01    3.09e+01      1.14e-01    1.15e+00      1.85e+00    9.77e-01    1.0e-03
   1000      6.03e+00    6.22e+00      3.56e-01    3.50e-01      1.91e-01    1.97e-01    1.0e-03
   2000      3.87e+00    3.85e+00      1.99e-02    3.72e-02      1.23e-01    1.22e-01    1.0e-03
   3000      4.73e+00    3.43e+00      4.42e-03    9.44e-03      1.49e-01    1.08e-01    1.0e-03
   4000      2.69e+00    3.03e+00      2.33e-02    1.79e-02      8.51e-02    9.57e-02    1.0e-03
   5000      2.72e+00    2.62e+00      3.17e-03    2.61e-03      8.61e-02    8.28e-02    1.0e-03
   6000      1.62e+00    1.89e+00      5.85e-03    3.95e-03      6.60e-02    7.71e-02    6.0e-04
   7000      2.01e+00    1.74e+00      2.99e-03    7.83e-03      8.21e-02    7.12e-02    6.0e-04
   8000      1.65e+00    1.42e+00      1.10e-02    1.63e-03      6.74e-02    5.81e-02    6.0e-04
   9000      1.59e+00    1.31e+00      1.86e-02    8.59e-03      6.48e-02    5.34e-02    6.0e-04
  10000      1.95e+00    1.77e+00      2.61e-02    1.82e-02      7.97e-02    7.22e-02    6.0e-04
  11000      1.05e+00    1.07e+00      4.07e-03    6.83e-03      5.52e-02    5.66e-02    3.6e-04
  12000      1.18e+00    1.37e+00      1.72e-02    1.13e-02      6.25e-02    7.21e-02    3.6e-04
  13000      1.13e+00    1.05e+00      6.62e-03    2.36e-03      5.98e-02    5.56e-02    3.6e-04
  14000      9.10e-01    1.03e+00      5.75e-03    9.13e-03      4.80e-02    5.41e-02    3.6e-04
  15000      1.21e+00    1.24e+00      3.27e-03    3.13e-03      6.37e-02    6.54e-02    3.6e-04
  16000      7.92e-01    7.36e-01      2.36e-03    5.84e-03      5.40e-02    5.02e-02    2.1e-04
  17000      7.33e-01    7.59e-01      1.63e-02    1.80e-02      4.98e-02    5.16e-02    2.1e-04
  18000      8.89e-01    6.77e-01      4.07e-03    6.90e-03      6.06e-02    4.61e-02    2.1e-04
  19000      6.71e-01    5.49e-01      2.47e-03    3.50e-03      4.57e-02    3.74e-02    2.1e-04
  20000      5.32e-01    5.41e-01      2.11e-03    5.15e-03      3.63e-02    3.69e-02    2.1e-04
  21000      3.45e-01    4.06e-01      2.87e-03    4.89e-03      3.03e-02    3.57e-02    1.3e-04
  22000      5.25e-01    5.24e-01      1.91e-03    2.57e-03      4.61e-02    4.61e-02    1.3e-04
  23000      3.30e-01    4.78e-01      6.15e-03    5.24e-03      2.89e-02    4.20e-02    1.3e-04
  24000      4.90e-01    3.71e-01      1.11e-02    1.18e-02      4.30e-02    3.25e-02    1.3e-04
  25000      5.66e-01    3.70e-01      1.42e-03    4.81e-04      4.97e-02    3.26e-02    1.3e-04
  26000      2.94e-01    2.44e-01      2.86e-03    3.25e-03      3.32e-02    2.77e-02    7.7e-05
  27000      4.03e-01    3.13e-01      1.41e-03    8.09e-04      4.57e-02    3.55e-02    7.7e-05
  28000      2.97e-01    3.32e-01      4.92e-03    3.79e-03      3.37e-02    3.76e-02    7.7e-05
  29000      4.98e-01    2.79e-01      2.65e-03    3.68e-03      5.64e-02    3.16e-02    7.7e-05
  30000      4.29e-01    2.65e-01      4.49e-03    3.49e-03      4.86e-02    3.01e-02    7.7e-05
  31000      2.48e-01    2.10e-01      2.37e-03    1.95e-03      3.61e-02    3.06e-02    4.6e-05
  32000      2.98e-01    2.33e-01      1.24e-03    2.10e-03      4.34e-02    3.39e-02    4.6e-05
  33000      2.66e-01    2.09e-01      3.63e-03    4.54e-03      3.88e-02    3.04e-02    4.6e-05
  34000      1.93e-01    2.10e-01      1.42e-03    1.19e-03      2.81e-02    3.06e-02    4.6e-05
  35000      1.94e-01    1.76e-01      1.88e-03    4.31e-04      2.83e-02    2.56e-02    4.6e-05
  36000      2.04e-01    1.55e-01      1.24e-03    1.14e-03      3.82e-02    2.90e-02    2.8e-05
  37000      1.41e-01    1.54e-01      3.35e-03    2.65e-03      2.64e-02    2.88e-02    2.8e-05
  38000      1.38e-01    1.65e-01      7.37e-04    1.14e-03      2.58e-02    3.08e-02    2.8e-05
  39000      8.83e-02    1.40e-01      1.19e-03    1.71e-03      1.65e-02    2.62e-02    2.8e-05
  40000      1.57e-01    1.96e-01      1.85e-03    1.68e-03      2.93e-02    3.67e-02    2.8e-05
  41000      1.23e-01    1.34e-01      1.18e-03    9.76e-04      2.93e-02    3.20e-02    1.7e-05
  42000      1.37e-01    1.17e-01      1.14e-03    7.62e-04      3.28e-02    2.79e-02    1.7e-05
  43000      1.62e-01    1.25e-01      1.99e-03    1.72e-03      3.86e-02    2.98e-02    1.7e-05
  44000      1.37e-01    9.49e-02      1.77e-03    2.01e-03      3.27e-02    2.26e-02    1.7e-05
  45000      1.34e-01    1.28e-01      3.63e-04    8.06e-04      3.21e-02    3.07e-02    1.7e-05
