# Step   Epot       Ekin       Total      Temp   Pressure(GPa)  Volume(Å³)  
84.0     -438.327913 0.166491   -438.161422 161.00 0.020984       1728.0000   
85.0     -438.330471 0.126947   -438.203524 122.76 -0.031745      1728.0000   
86.0     -438.342965 0.160056   -438.182910 154.78 -0.085427      1728.0000   
87.0     -438.318694 0.114965   -438.203729 111.18 -0.108170      1728.0000   
88.0     -438.270017 0.151573   -438.118444 146.58 -0.104976      1728.0000   
89.0     -438.277201 0.190208   -438.086993 183.94 -0.082904      1728.0000   
90.0     -438.322090 0.187673   -438.134417 181.49 -0.056986      1728.0000   
91.0     -438.348950 0.184490   -438.164460 178.41 -0.017386      1728.0000   
92.0     -438.323638 0.190787   -438.132851 184.50 0.026839       1728.0000   
93.0     -438.304147 0.155339   -438.148808 150.22 0.033868       1728.0000   
94.0     -438.301993 0.181133   -438.120860 175.16 0.030578       1728.0000   
95.0     -438.285464 0.214972   -438.070492 207.89 0.016294       1728.0000   
96.0     -438.291427 0.178109   -438.113317 172.24 -0.009055      1728.0000   
97.0     -438.331821 0.214513   -438.117309 207.44 -0.031639      1728.0000   
98.0     -438.351421 0.158269   -438.193153 153.05 -0.054201      1728.0000   
99.0     -438.352080 0.143732   -438.208349 138.99 -0.071391      1728.0000   
100.0    -438.339077 0.152912   -438.186166 147.87 -0.084333      1728.0000   
101.0    -438.311993 0.203550   -438.108443 196.84 -0.094184      1728.0000   
102.0    -438.305517 0.148839   -438.156677 143.93 -0.108949      1728.0000   
103.0    -438.335232 0.239296   -438.095936 231.41 -0.086915      1728.0000   
104.0    -438.351689 0.159506   -438.192184 154.25 -0.031306      1728.0000   
105.0    -438.345051 0.145749   -438.199302 140.95 0.031422       1728.0000   
106.0    -438.335598 0.137657   -438.197941 133.12 0.084028       1728.0000   
107.0    -438.358831 0.198862   -438.159969 192.31 0.094896       1728.0000   
108.0    -438.398398 0.243982   -438.154416 235.94 0.062083       1728.0000   
109.0    -438.393458 0.240646   -438.152813 232.71 0.005566       1728.0000   
110.0    -438.355155 0.167622   -438.187533 162.10 -0.059689      1728.0000   
111.0    -438.295663 0.130748   -438.164915 126.44 -0.123110      1728.0000   
112.0    -438.231999 0.131827   -438.100172 127.48 -0.174162      1728.0000   
113.0    -438.230495 0.205570   -438.024925 198.79 -0.177288      1728.0000   
114.0    -438.256600 0.272725   -437.983875 263.74 -0.126194      1728.0000   
115.0    -438.277521 0.212793   -438.064728 205.78 -0.062678      1728.0000   
116.0    -438.292509 0.237325   -438.055184 229.50 0.018166       1728.0000   
117.0    -438.272640 0.171284   -438.101356 165.64 0.070442       1728.0000   
118.0    -438.253346 0.195213   -438.058133 188.78 0.068718       1728.0000   
119.0    -438.263250 0.251884   -438.011366 243.58 0.058567       1728.0000   
120.0    -438.282944 0.267688   -438.015256 258.87 0.043166       1728.0000   
121.0    -438.295731 0.220594   -438.075137 213.32 0.005155       1728.0000   
122.0    -438.289007 0.174970   -438.114037 169.20 -0.041715      1728.0000   
123.0    -438.293175 0.226441   -438.066734 218.98 -0.066767      1728.0000   
124.0    -438.313499 0.167742   -438.145758 162.21 -0.065681      1728.0000   
125.0    -438.329739 0.225019   -438.104720 217.60 -0.065476      1728.0000   
126.0    -438.342830 0.201542   -438.141289 194.90 -0.054634      1728.0000   
127.0    -438.340222 0.216337   -438.123885 209.21 -0.020083      1728.0000   
128.0    -438.300024 0.223154   -438.076870 215.80 0.021049       1728.0000   
129.0    -438.237220 0.162079   -438.075142 156.74 0.009291       1728.0000   
130.0    -438.199860 0.223157   -437.976702 215.80 -0.004735      1728.0000   
131.0    -438.209221 0.236046   -437.973175 228.27 0.005315       1728.0000   
132.0    -438.259164 0.261891   -437.997273 253.26 0.023006       1728.0000   
133.0    -438.305688 0.290833   -438.014855 281.25 0.026541       1728.0000   
134.0    -438.331476 0.233163   -438.098314 225.48 0.019431       1728.0000   
135.0    -438.326446 0.238349   -438.088097 230.49 -0.003666      1728.0000   
136.0    -438.334404 0.206954   -438.127450 200.13 -0.048627      1728.0000   
137.0    -438.343158 0.226696   -438.116462 219.23 -0.088362      1728.0000   
138.0    -438.309733 0.174097   -438.135636 168.36 -0.116074      1728.0000   
139.0    -438.279663 0.321463   -437.958200 310.87 -0.109263      1728.0000   
140.0    -438.280079 0.237438   -438.042641 229.61 -0.067821      1728.0000   
141.0    -438.278198 0.210870   -438.067328 203.92 -0.025026      1728.0000   
142.0    -438.257301 0.197567   -438.059734 191.06 -0.000568      1728.0000   
143.0    -438.217722 0.185743   -438.031979 179.62 0.055742       1728.0000   
144.0    -438.189472 0.212111   -437.977361 205.12 0.110868       1728.0000   
145.0    -438.171383 0.167620   -438.003762 162.10 0.113519       1728.0000   
146.0    -438.181019 0.229675   -437.951344 222.11 0.072630       1728.0000   
147.0    -438.198865 0.218576   -437.980289 211.37 0.014759       1728.0000   
148.0    -438.220459 0.227364   -437.993095 219.87 -0.044491      1728.0000   
149.0    -438.219850 0.164699   -438.055151 159.27 -0.096426      1728.0000   
150.0    -438.217194 0.238189   -437.979005 230.34 -0.108914      1728.0000   
151.0    -438.256022 0.267864   -437.988158 259.04 -0.087979      1728.0000   
152.0    -438.307587 0.239324   -438.068263 231.44 -0.059048      1728.0000   
153.0    -438.323673 0.226163   -438.097510 218.71 -0.015030      1728.0000   
154.0    -438.293737 0.181208   -438.112529 175.24 0.014490       1728.0000   
155.0    -438.288103 0.169898   -438.118205 164.30 0.006637       1728.0000   
156.0    -438.291501 0.195665   -438.095837 189.22 -0.025941      1728.0000   
157.0    -438.255992 0.184239   -438.071753 178.17 -0.039280      1728.0000   
158.0    -438.239547 0.197192   -438.042355 190.69 -0.051335      1728.0000   
159.0    -438.250840 0.175227   -438.075612 169.45 -0.044957      1728.0000   
160.0    -438.290112 0.282445   -438.007667 273.14 -0.032924      1728.0000   
161.0    -438.289109 0.118936   -438.170173 115.02 -0.026502      1728.0000   
162.0    -438.275417 0.230496   -438.044920 222.90 0.014352       1728.0000   
163.0    -438.262267 0.161800   -438.100468 156.47 0.016925       1728.0000   
164.0    -438.284509 0.234708   -438.049801 226.97 -0.008443      1728.0000   
165.0    -438.305594 0.213395   -438.092199 206.36 -0.013008      1728.0000   
166.0    -438.318875 0.242283   -438.076592 234.30 -0.018018      1728.0000   
167.0    -438.300238 0.273900   -438.026338 264.87 -0.019386      1728.0000   
168.0    -438.277690 0.246865   -438.030824 238.73 -0.035834      1728.0000   
169.0    -438.241961 0.205292   -438.036670 198.53 -0.056964      1728.0000   
170.0    -438.227927 0.260595   -437.967333 252.01 -0.102656      1728.0000   
171.0    -438.239939 0.303170   -437.936769 293.18 -0.113914      1728.0000   
172.0    -438.255763 0.191772   -438.063992 185.45 -0.054736      1728.0000   
173.0    -438.244291 0.227263   -438.017028 219.77 0.031110       1728.0000   
174.0    -438.240844 0.282955   -437.957889 273.63 0.070221       1728.0000   
175.0    -438.267365 0.229728   -438.037637 222.16 0.039534       1728.0000   
176.0    -438.239670 0.235538   -438.004132 227.78 -0.028925      1728.0000   
177.0    -438.172219 0.241895   -437.930324 233.92 -0.073815      1728.0000   
178.0    -438.112520 0.223227   -437.889292 215.87 -0.115857      1728.0000   
179.0    -438.108906 0.244736   -437.864169 236.67 -0.091352      1728.0000   
180.0    -438.116566 0.274555   -437.842011 265.51 -0.065641      1728.0000   
181.0    -438.118603 0.184149   -437.934454 178.08 -0.051890      1728.0000   
182.0    -438.148395 0.334797   -437.813598 323.76 -0.043412      1728.0000   
183.0    -438.144757 0.236963   -437.907794 229.15 -0.029572      1728.0000   
184.0    -438.125712 0.230179   -437.895533 222.59 -0.004240      1728.0000   
185.0    -438.152781 0.195634   -437.957148 189.19 0.034568       1728.0000   
186.0    -438.203321 0.252114   -437.951207 243.80 0.064022       1728.0000   
187.0    -438.224339 0.258119   -437.966221 249.61 0.092976       1728.0000   
188.0    -438.217065 0.265463   -437.951602 256.71 0.046939       1728.0000   
189.0    -438.211750 0.320275   -437.891475 309.72 -0.021685      1728.0000   
190.0    -438.221100 0.270477   -437.950623 261.56 -0.085664      1728.0000   
191.0    -438.264702 0.303872   -437.960830 293.86 -0.123871      1728.0000   
192.0    -438.312477 0.357633   -437.954844 345.85 -0.134279      1728.0000   
193.0    -438.319640 0.318274   -438.001366 307.79 -0.119637      1728.0000   
194.0    -438.306322 0.164431   -438.141890 159.01 -0.077910      1728.0000   
195.0    -438.277448 0.221123   -438.056325 213.84 0.023072       1728.0000   
196.0    -438.253682 0.186039   -438.067643 179.91 0.123600       1728.0000   
197.0    -438.280704 0.318235   -437.962469 307.75 0.178281       1728.0000   
198.0    -438.295636 0.277790   -438.017846 268.64 0.157165       1728.0000   
199.0    -438.307449 0.162257   -438.145192 156.91 0.090879       1728.0000   
200.0    -438.315957 0.248175   -438.067782 240.00 0.020953       1728.0000   
201.0    -438.303289 0.325542   -437.977747 314.81 -0.073831      1728.0000   
202.0    -438.277752 0.244943   -438.032808 236.87 -0.156017      1728.0000   
203.0    -438.253464 0.403939   -437.849524 390.63 -0.171814      1728.0000   
204.0    -438.149377 0.187793   -437.961583 181.60 -0.132787      1728.0000   
205.0    -438.075921 0.140638   -437.935284 136.00 -0.057693      1728.0000   
206.0    -438.042760 0.236072   -437.806688 228.29 0.007424       1728.0000   
207.0    -438.173824 0.447259   -437.726565 432.52 0.023332       1728.0000   
208.0    -438.266822 0.424275   -437.842547 410.29 0.034279       1728.0000   
209.0    -438.237299 0.281055   -437.956244 271.79 0.027424       1728.0000   
210.0    -438.217558 0.298767   -437.918790 288.92 0.024295       1728.0000   
211.0    -438.253269 0.250424   -438.002845 242.17 0.018963       1728.0000   
212.0    -438.303662 0.383744   -437.919918 371.10 0.030729       1728.0000   
213.0    -438.313416 0.305448   -438.007968 295.38 0.020081       1728.0000   
214.0    -438.309154 0.211742   -438.097412 204.76 0.003038       1728.0000   
215.0    -438.287796 0.256277   -438.031519 247.83 -0.021528      1728.0000   
216.0    -438.253227 0.230261   -438.022966 222.67 -0.060860      1728.0000   
217.0    -438.201775 0.226744   -437.975031 219.27 -0.089325      1728.0000   
218.0    -438.156913 0.258650   -437.898264 250.13 -0.084010      1728.0000   
219.0    -438.202706 0.295795   -437.906911 286.05 -0.056376      1728.0000   
220.0    -438.267198 0.437013   -437.830185 422.61 -0.008870      1728.0000   
221.0    -438.243205 0.263731   -437.979474 255.04 0.024136       1728.0000   
222.0    -438.192122 0.282204   -437.909918 272.90 0.034963       1728.0000   
223.0    -438.132371 0.187287   -437.945084 181.11 0.017266       1728.0000   
224.0    -438.128919 0.342987   -437.785932 331.68 -0.042617      1728.0000   
225.0    -438.175240 0.356222   -437.819018 344.48 -0.091096      1728.0000   
226.0    -438.232239 0.301602   -437.930638 291.66 -0.115351      1728.0000   
227.0    -438.273002 0.340002   -437.932999 328.80 -0.100865      1728.0000   
228.0    -438.326781 0.334066   -437.992716 323.06 -0.050536      1728.0000   
229.0    -438.365845 0.270169   -438.095677 261.26 0.013102       1728.0000   
230.0    -438.358294 0.314962   -438.043333 304.58 0.061864       1728.0000   
231.0    -438.332723 0.371399   -437.961324 359.16 0.098920       1728.0000   
232.0    -438.319780 0.312794   -438.006986 302.49 0.107013       1728.0000   
233.0    -438.305529 0.250269   -438.055260 242.02 0.099182       1728.0000   
234.0    -438.285704 0.320717   -437.964987 310.15 0.036132       1728.0000   
235.0    -438.246038 0.265321   -437.980717 256.58 -0.067533      1728.0000   
236.0    -438.178269 0.342755   -437.835514 331.46 -0.166249      1728.0000   
237.0    -438.106738 0.280710   -437.826028 271.46 -0.215398      1728.0000   
238.0    -438.071419 0.267034   -437.804385 258.23 -0.215181      1728.0000   
239.0    -438.103931 0.396372   -437.707559 383.31 -0.154555      1728.0000   
240.0    -438.156987 0.316762   -437.840224 306.32 -0.055853      1728.0000   
241.0    -438.197773 0.439243   -437.758529 424.77 0.024883       1728.0000   
242.0    -438.166734 0.295317   -437.871417 285.58 0.063978       1728.0000   
243.0    -438.116170 0.252436   -437.863734 244.12 0.056022       1728.0000   
244.0    -438.096330 0.423517   -437.672814 409.56 0.030180       1728.0000   
245.0    -438.106100 0.282814   -437.823286 273.49 -0.002900      1728.0000   
246.0    -438.194638 0.482316   -437.712322 466.42 -0.053662      1728.0000   
247.0    -438.241736 0.392434   -437.849302 379.50 -0.092227      1728.0000   
248.0    -438.213741 0.279980   -437.933760 270.75 -0.087951      1728.0000   
249.0    -438.146330 0.297200   -437.849130 287.41 -0.087348      1728.0000   
250.0    -438.091624 0.320526   -437.771098 309.96 -0.117807      1728.0000   
251.0    -438.076443 0.258460   -437.817983 249.94 -0.093420      1728.0000   
252.0    -438.140733 0.283359   -437.857375 274.02 -0.041236      1728.0000   
253.0    -438.204677 0.467102   -437.737575 451.71 0.016057       1728.0000   
254.0    -438.215854 0.334321   -437.881533 323.30 0.064032       1728.0000   
255.0    -438.181909 0.340567   -437.841342 329.34 0.089105       1728.0000   
256.0    -438.132714 0.307747   -437.824966 297.61 0.081941       1728.0000   
257.0    -438.136888 0.218646   -437.918242 211.44 0.017187       1728.0000   
258.0    -438.193162 0.328260   -437.864902 317.44 -0.069071      1728.0000   
259.0    -438.214244 0.276167   -437.938077 267.07 -0.150232      1728.0000   
260.0    -438.207439 0.278021   -437.929418 268.86 -0.197178      1728.0000   
261.0    -438.185733 0.351578   -437.834155 339.99 -0.171796      1728.0000   
262.0    -438.125587 0.321046   -437.804541 310.47 -0.078426      1728.0000   
263.0    -438.097342 0.221046   -437.876296 213.76 0.034034       1728.0000   
264.0    -438.095919 0.290277   -437.805642 280.71 0.130824       1728.0000   
265.0    -438.060585 0.385535   -437.675051 372.83 0.179747       1728.0000   
266.0    -438.004118 0.261043   -437.743074 252.44 0.149046       1728.0000   
267.0    -437.925355 0.215904   -437.709451 208.79 0.070524       1728.0000   
268.0    -437.887085 0.375302   -437.511784 362.93 -0.056541      1728.0000   
269.0    -437.910146 0.284106   -437.626040 274.74 -0.159543      1728.0000   
270.0    -438.020441 0.388462   -437.631979 375.66 -0.212725      1728.0000   
271.0    -438.110098 0.404872   -437.705225 391.53 -0.193899      1728.0000   
272.0    -438.116466 0.415522   -437.700944 401.83 -0.118044      1728.0000   
273.0    -438.053747 0.405154   -437.648593 391.80 0.009771       1728.0000   
